SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
680831870,00157M00:01:37.865,0157 00:12:13,2.74,,,,280.13,,2.69,,,,270.15,,1,1,1
680831871,00157M00:01:38.839,0157 00:12:14,2.80,,,,280.13,,3.01,,,,270.15,,1,1,1
680831872,00157M00:01:39.812,0157 00:12:15,2.91,,,,285.13,,3.17,,,,270.15,,1,1,1
680831873,00157M00:01:40.785,0157 00:12:16,2.70,,,,285.13,,2.86,,,,275.14,,1,1,1
680831874,00157M00:01:41.758,0157 00:12:17,2.27,,,,275.14,,3.06,,,,260.16,,1,1,1
680831875,00157M00:01:42.732,0157 00:12:18,2.53,,,,270.15,,3.48,,,,255.17,,1,1,1
680831876,00157M00:01:43.705,0157 00:12:19,2.27,,,,275.14,,2.74,,,,270.15,,1,1,1
680831877,00157M00:01:44.678,0157 00:12:20,2.53,,,,280.13,,3.01,,,,270.15,,1,1,1
680831878,00157M00:01:45.651,0157 00:12:21,2.43,,,,290.12,,2.74,,,,275.14,,1,1,1
680831879,00157M00:01:46.625,0157 00:12:22,2.48,,,,280.13,,2.85,,,,265.16,,1,1,1
680831880,00157M00:01:47.598,0157 00:12:23,2.58,,,,275.14,,3.11,,,,265.16,,1,1,1
680831881,00157M00:01:48.571,0157 00:12:24,2.64,,,,280.13,,3.06,,,,270.15,,1,1,1
680831882,00157M00:01:49.544,0157 00:12:25,2.21,,,,275.14,,2.58,,,,270.15,,1,1,1
680831883,00157M00:01:50.518,0157 00:12:26,2.37,,,,280.13,,2.95,,,,265.16,,1,1,1
680831884,00157M00:01:51.491,0157 00:12:27,2.69,,,,280.13,,2.95,,,,270.15,,1,1,1
680831885,00157M00:01:52.464,0157 00:12:28,2.64,,,,280.13,,3.11,,,,265.16,,1,1,1
680831886,00157M00:01:53.437,0157 00:12:29,2.37,,,,275.14,,3.06,,,,265.16,,1,1,1
680831887,00157M00:01:54.411,0157 00:12:30,2.58,,,,280.13,,2.74,,,,270.15,,1,1,1
680831888,00157M00:01:55.384,0157 00:12:31,2.53,,,,280.13,,2.85,,,,270.15,,1,1,1
680831889,00157M00:01:56.357,0157 00:12:32,2.16,,,,280.13,,2.64,,,,270.15,,1,1,1
680831890,00157M00:01:57.330,0157 00:12:33,2.00,,,,275.14,,2.47,,,,265.16,,1,1,1
680831891,00157M00:01:58.304,0157 00:12:34,2.21,,,,275.14,,2.58,,,,265.16,,1,1,1
680831892,00157M00:01:59.277,0157 00:12:35,2.26,,,,275.14,,2.84,,,,265.16,,1,1,1
680831893,00157M00:02:00.250,0157 00:12:36,2.36,,,,275.14,,3.05,,,,260.16,,1,1,1
680831894,00157M00:02:01.223,0157 00:12:37,2.21,,,,275.14,,2.94,,,,265.16,,1,1,1
680831895,00157M00:02:02.197,0157 00:12:38,2.21,,,,275.14,,2.78,,,,265.16,,1,1,1
680831896,00157M00:02:03.170,0157 00:12:39,2.31,,,,280.13,,2.89,,,,265.16,,1,1,1
680831897,00157M00:02:04.143,0157 00:12:40,2.53,,,,280.13,,3.00,,,,265.16,,1,1,1
680831898,00157M00:02:05.116,0157 00:12:41,2.16,,,,275.14,,3.26,,,,255.17,,1,1,1
680831899,00157M00:02:06.090,0157 00:12:42,2.05,,,,270.15,,2.52,,,,260.16,,1,1,1
680831900,00157M00:02:07.063,0157 00:12:43,2.47,,,,265.16,,3.31,,,,255.17,,1,1,1
680831901,00157M00:02:08.036,0157 00:12:44,2.63,,,,265.16,,3.53,,,,255.17,,1,1,1
680831902,00157M00:02:09.009,0157 00:12:45,2.85,,,,270.15,,3.53,,,,260.16,,1,1,1
680831903,00157M00:02:09.983,0157 00:12:46,2.74,,,,270.15,,3.53,,,,260.16,,1,1,1
680831904,00157M00:02:10.956,0157 00:12:46,2.48,,,,270.15,,3.42,,,,260.16,,1,1,1
680831905,00157M00:02:11.929,0157 00:12:47,2.58,,,,270.15,,3.58,,,,255.17,,1,1,1
680831906,00157M00:02:12.902,0157 00:12:48,2.47,,,,270.15,,3.53,,,,255.17,,1,1,1
680831907,00157M00:02:13.876,0157 00:12:49,2.58,,,,275.14,,3.32,,,,265.16,,1,1,1
680831908,00157M00:02:14.849,0157 00:12:50,2.53,,,,275.14,,3.11,,,,265.16,,1,1,1
680831909,00157M00:02:15.822,0157 00:12:51,2.75,,,,275.14,,3.49,,,,265.16,,1,1,1
680831910,00157M00:02:16.795,0157 00:12:52,3.02,,,,275.14,,3.33,,,,270.15,,1,1,1
680831911,00157M00:02:17.769,0157 00:12:53,2.80,,,,275.14,,3.28,,,,265.16,,1,1,1
680831912,00157M00:02:18.742,0157 00:12:54,2.96,,,,280.13,,3.33,,,,270.15,,1,1,1
680831913,00157M00:02:19.715,0157 00:12:55,2.91,,,,285.13,,3.23,,,,270.15,,1,1,1
680831914,00157M00:02:20.688,0157 00:12:56,2.70,,,,285.13,,3.07,,,,270.15,,1,1,1
680831915,00157M00:02:21.662,0157 00:12:57,2.70,,,,280.13,,3.17,,,,270.15,,1,1,1
680831916,00157M00:02:22.635,0157 00:12:58,3.12,,,,280.13,,3.55,,,,265.16,,1,1,1
680831917,00157M00:02:23.608,0157 00:12:59,3.02,,,,285.13,,3.34,,,,270.15,,1,1,1
680831918,00157M00:02:24.581,0157 00:13:00,2.93,,,,285.13,,3.34,,,,270.15,,1,1,1
680831919,00157M00:02:25.555,0157 00:13:01,2.92,,,,285.13,,3.07,,,,270.15,,1,1,1
680831920,00157M00:02:26.528,0157 00:13:02,2.65,,,,275.14,,2.96,,,,270.15,,1,1,1
680831921,00157M00:02:27.501,0157 00:13:03,2.43,,,,275.14,,2.90,,,,270.15,,1,1,1
680831922,00157M00:02:28.474,0157 00:13:04,2.42,,,,280.13,,2.95,,,,265.16,,1,1,1
680831923,00157M00:02:29.448,0157 00:13:05,2.75,,,,285.13,,2.70,,,,275.14,,1,1,1
680831924,00157M00:02:30.421,0157 00:13:06,2.43,,,,280.13,,3.06,,,,265.16,,1,1,1
680831925,00157M00:02:31.394,0157 00:13:07,2.64,,,,280.13,,3.27,,,,265.16,,1,1,1
680831926,00157M00:02:32.367,0157 00:13:08,2.59,,,,275.14,,3.32,,,,265.16,,1,1,1
680831927,00157M00:02:33.341,0157 00:13:09,2.48,,,,275.14,,3.27,,,,260.16,,1,1,1
680831928,00157M00:02:34.314,0157 00:13:10,2.64,,,,275.14,,2.79,,,,270.15,,1,1,1
680831929,00157M00:02:35.287,0157 00:13:11,2.43,,,,275.14,,3.01,,,,265.16,,1,1,1
680831930,00157M00:02:36.260,0157 00:13:12,2.59,,,,285.13,,2.85,,,,270.15,,1,1,1
680831931,00157M00:02:37.234,0157 00:13:13,2.53,,,,280.13,,3.01,,,,265.16,,1,1,1
680831932,00157M00:02:38.207,0157 00:13:14,2.81,,,,280.13,,3.33,,,,265.16,,1,1,1
680831933,00157M00:02:39.180,0157 00:13:15,2.70,,,,280.13,,3.39,,,,265.16,,1,1,1
680831934,00157M00:02:40.153,0157 00:13:16,2.70,,,,275.14,,3.28,,,,265.16,,1,1,1
680831935,00157M00:02:41.127,0157 00:13:17,2.81,,,,280.13,,3.28,,,,265.16,,1,1,1
680831936,00157M00:02:42.100,0157 00:13:18,2.71,,,,280.13,,3.24,,,,265.16,,1,1,1
680831937,00157M00:02:43.073,0157 00:13:19,2.49,,,,275.14,,3.18,,,,265.16,,1,1,1
680831938,00157M00:02:44.046,0157 00:13:20,2.81,,,,280.13,,3.18,,,,270.15,,1,1,1
680831939,00157M00:02:45.020,0157 00:13:21,2.97,,,,285.13,,3.19,,,,270.15,,1,1,1
680831940,00157M00:02:45.993,0157 00:13:22,3.02,,,,290.12,,2.97,,,,275.14,,1,1,1
680831941,00157M00:02:46.966,0157 00:13:23,2.86,,,,285.13,,2.97,,,,275.14,,1,1,1
680831942,00157M00:02:47.939,0157 00:13:23,2.81,,,,285.13,,3.10,,,,270.15,,1,1,1
680831943,00157M00:02:48.913,0157 00:13:24,2.81,,,,285.13,,3.18,,,,270.15,,1,1,1
680831944,00157M00:02:49.886,0157 00:13:25,2.81,,,,280.13,,3.08,,,,270.15,,1,1,1
680831945,00157M00:02:50.859,0157 00:13:26,2.76,,,,280.13,,3.03,,,,270.15,,1,1,1
680831946,00157M00:02:51.832,0157 00:13:27,2.60,,,,285.13,,2.65,,,,275.14,,1,1,1
680831947,00157M00:02:52.806,0157 00:13:28,2.81,,,,285.13,,3.23,,,,270.15,,1,1,1
680831948,00157M00:02:53.779,0157 00:13:29,2.60,,,,280.13,,2.97,,,,270.15,,1,1,1
680831949,00157M00:02:54.752,0157 00:13:30,2.71,,,,280.13,,3.24,,,,270.15,,1,1,1
680831950,00157M00:02:55.725,0157 00:13:31,2.71,,,,275.14,,3.40,,,,265.16,,1,1,1
680831951,00157M00:02:56.699,0157 00:13:32,3.09,,,,275.14,,3.41,,,,270.15,,1,1,1
680831952,00157M00:02:57.672,0157 00:13:33,3.20,,,,275.14,,3.57,,,,270.15,,1,1,1
680831953,00157M00:02:58.645,0157 00:13:34,2.98,,,,280.13,,3.51,,,,265.16,,1,1,1
680831954,00157M00:02:59.618,0157 00:13:35,2.93,,,,280.13,,3.14,,,,270.15,,1,1,1
680831955,00157M00:03:00.592,0157 00:13:36,2.87,,,,285.13,,2.77,,,,275.14,,1,1,1
680831956,00157M00:03:01.565,0157 00:13:37,2.98,,,,285.13,,2.98,,,,275.14,,1,1,1
680831957,00157M00:03:02.538,0157 00:13:38,2.87,,,,280.13,,3.14,,,,270.15,,1,1,1
680831958,00157M00:03:03.511,0157 00:13:39,2.82,,,,280.13,,3.19,,,,270.15,,1,1,1
680831959,00157M00:03:04.485,0157 00:13:40,3.03,,,,280.13,,3.19,,,,270.15,,1,1,1
680831960,00157M00:03:05.458,0157 00:13:41,3.08,,,,275.14,,3.47,,,,270.15,,1,1,1
680831961,00157M00:03:06.431,0157 00:13:42,3.04,,,,280.13,,3.59,,,,270.15,,1,1,1
680831962,00157M00:03:07.404,0157 00:13:43,3.15,,,,280.13,,3.68,,,,270.15,,1,1,1
680831963,00157M00:03:08.378,0157 00:13:44,3.14,,,,280.13,,3.62,,,,265.16,,1,1,1
680831964,00157M00:03:09.351,0157 00:13:45,3.03,,,,275.14,,3.62,,,,265.16,,1,1,1
680831965,00157M00:03:10.324,0157 00:13:46,2.98,,,,275.14,,3.62,,,,265.16,,1,1,1
680831966,00157M00:03:11.297,0157 00:13:47,2.92,,,,275.14,,3.56,,,,265.16,,1,1,1
680831967,00157M00:03:12.271,0157 00:13:48,3.08,,,,280.13,,3.30,,,,270.15,,1,1,1
680831968,00157M00:03:13.244,0157 00:13:49,2.82,,,,280.13,,3.35,,,,265.16,,1,1,1
680831969,00157M00:03:14.217,0157 00:13:50,2.82,,,,280.13,,3.25,,,,265.16,,1,1,1
680831970,00157M00:03:15.190,0157 00:13:51,2.66,,,,280.13,,2.98,,,,270.15,,1,1,1
680831971,00157M00:03:16.164,0157 00:13:52,2.71,,,,285.13,,2.82,,,,275.14,,1,1,1
680831972,00157M00:03:17.137,0157 00:13:53,2.76,,,,285.13,,2.76,,,,275.14,,1,1,1
680831973,00157M00:03:18.110,0157 00:13:54,2.66,,,,280.13,,3.08,,,,265.16,,1,1,1
680831974,00157M00:03:19.083,0157 00:13:55,2.71,,,,275.14,,3.29,,,,265.16,,1,1,1
680831975,00157M00:03:20.057,0157 00:13:56,3.08,,,,285.13,,2.82,,,,275.14,,1,1,1
680831976,00157M00:03:21.030,0157 00:13:57,2.92,,,,285.13,,3.24,,,,270.15,,1,1,1
680831977,00157M00:03:22.003,0157 00:13:58,2.93,,,,285.13,,2.75,,,,275.14,,1,1,1
680831978,00157M00:03:22.976,0157 00:13:59,3.01,,,,290.12,,2.85,,,,275.14,,1,1,1
680831979,00157M00:03:23.950,0157 00:13:59,2.96,,,,285.13,,3.02,,,,275.14,,1,1,1
680831980,00157M00:03:24.923,0157 00:14:00,3.01,,,,285.13,,2.96,,,,275.14,,1,1,1
680831981,00157M00:03:25.896,0157 00:14:01,2.96,,,,285.13,,2.96,,,,275.14,,1,1,1
680831982,00157M00:03:26.869,0157 00:14:02,3.02,,,,285.13,,3.23,,,,270.15,,1,1,1
680831983,00157M00:03:27.843,0157 00:14:03,2.97,,,,280.13,,3.24,,,,270.15,,1,1,1
