SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
675956733,00102M02:02:41.179,0102 02:00:05,1.45,,,,197.38,,1.95,,,,227.38,,1,1,1
675956733.5,00102M02:02:41.665,0102 02:00:06,1.55,,,,202.38,,1.75,,,,227.38,,1,1,1
675956734,00102M02:02:42.152,0102 02:00:06,1.60,,,,197.38,,1.70,,,,227.38,,1,1,1
675956734.5,00102M02:02:42.638,0102 02:00:07,1.60,,,,202.38,,1.65,,,,227.38,,1,1,1
675956735,00102M02:02:43.125,0102 02:00:07,1.60,,,,197.38,,1.60,,,,227.38,,1,1,1
675956735.5,00102M02:02:43.612,0102 02:00:08,1.80,,,,197.38,,1.65,,,,227.38,,1,1,1
675956736,00102M02:02:44.098,0102 02:00:08,1.80,,,,197.38,,1.95,,,,227.38,,1,1,1
675956736.5,00102M02:02:44.585,0102 02:00:09,1.95,,,,197.38,,1.95,,,,227.38,,1,1,1
675956737,00102M02:02:45.072,0102 02:00:09,2.10,,,,202.38,,2.00,,,,227.38,,1,1,1
675956737.5,00102M02:02:45.558,0102 02:00:10,2.10,,,,202.38,,2.15,,,,227.38,,1,1,1
675956738,00102M02:02:46.045,0102 02:00:10,1.75,,,,197.38,,1.95,,,,227.38,,1,1,1
675956738.5,00102M02:02:46.531,0102 02:00:11,1.65,,,,202.38,,1.65,,,,227.38,,1,1,1
675956739,00102M02:02:47.018,0102 02:00:11,1.40,,,,187.38,,1.35,,,,227.38,,1,1,1
675956739.5,00102M02:02:47.505,0102 02:00:12,1.45,,,,182.38,,0.45,,,,227.38,,1,1,1
675956740,00102M02:02:47.991,0102 02:00:12,1.80,,,,182.38,,0.35,,,,227.38,,1,1,1
675956740.5,00102M02:02:48.478,0102 02:00:13,2.10,,,,182.38,,0.80,,,,227.38,,1,1,1
675956741,00102M02:02:48.965,0102 02:00:13,2.05,,,,182.38,,1.45,,,,227.38,,1,1,1
675956741.5,00102M02:02:49.451,0102 02:00:14,2.10,,,,177.38,,1.00,,,,227.38,,1,1,1
675956742,00102M02:02:49.938,0102 02:00:14,2.10,,,,182.38,,1.10,,,,227.38,,1,1,1
675956742.5,00102M02:02:50.424,0102 02:00:15,1.85,,,,182.38,,1.95,,,,227.38,,1,1,1
675956743,00102M02:02:50.911,0102 02:00:15,1.60,,,,197.38,,1.50,,,,227.38,,1,1,1
675956743.5,00102M02:02:51.398,0102 02:00:16,1.35,,,,207.38,,1.71,,,,227.38,,1,1,1
675956744,00102M02:02:51.884,0102 02:00:16,1.81,,,,182.38,,1.76,,,,227.38,,1,1,1
675956744.5,00102M02:02:52.371,0102 02:00:17,2.16,,,,197.38,,1.35,,,,227.38,,1,1,1
675956745,00102M02:02:52.858,0102 02:00:17,2.05,,,,192.38,,1.95,,,,227.38,,1,1,1
675956745.5,00102M02:02:53.344,0102 02:00:18,2.11,,,,197.38,,2.31,,,,227.38,,1,1,1
675956746,00102M02:02:53.831,0102 02:00:18,2.01,,,,192.38,,1.91,,,,227.38,,1,1,1
675956746.5,00102M02:02:54.317,0102 02:00:19,1.91,,,,197.38,,2.01,,,,227.38,,1,1,1
675956747,00102M02:02:54.804,0102 02:00:19,1.81,,,,192.38,,1.86,,,,227.38,,1,1,1
675956747.5,00102M02:02:55.291,0102 02:00:20,1.80,,,,192.38,,1.70,,,,227.38,,1,1,1
675956748,00102M02:02:55.777,0102 02:00:20,1.85,,,,192.38,,1.70,,,,227.38,,1,1,1
675956748.5,00102M02:02:56.264,0102 02:00:21,1.90,,,,192.38,,1.70,,,,227.38,,1,1,1
675956749,00102M02:02:56.751,0102 02:00:21,2.00,,,,192.38,,1.80,,,,227.38,,1,1,1
675956749.5,00102M02:02:57.237,0102 02:00:21,1.90,,,,192.38,,1.90,,,,227.38,,1,1,1
675956750,00102M02:02:57.724,0102 02:00:22,1.93,,,,192.38,,2.00,,,,227.38,,1,1,1
675956750.5,00102M02:02:58.210,0102 02:00:22,2.10,,,,197.38,,2.10,,,,227.38,,1,1,1
675956751,00102M02:02:58.697,0102 02:00:23,2.30,,,,197.38,,2.57,,,,227.38,,1,1,1
675956751.5,00102M02:02:59.184,0102 02:00:23,2.43,,,,202.38,,2.50,,,,227.38,,1,1,1
675956752,00102M02:02:59.670,0102 02:00:24,2.20,,,,202.38,,2.65,,,,227.38,,1,1,1
675956752.5,00102M02:03:00.157,0102 02:00:24,1.95,,,,197.38,,2.05,,,,227.38,,1,1,1
675956753,00102M02:03:00.644,0102 02:00:25,2.35,,,,197.38,,2.15,,,,227.38,,1,1,1
675956753.5,00102M02:03:01.130,0102 02:00:25,2.30,,,,202.38,,2.75,,,,227.38,,1,1,1
675956754,00102M02:03:01.617,0102 02:00:26,1.95,,,,197.38,,2.35,,,,227.38,,1,1,1
675956754.5,00102M02:03:02.103,0102 02:00:26,2.35,,,,202.38,,2.45,,,,227.38,,1,1,1
675956755,00102M02:03:02.590,0102 02:00:27,2.65,,,,207.38,,3.06,,,,227.38,,1,1,1
675956755.5,00102M02:03:03.077,0102 02:00:27,2.61,,,,207.38,,2.96,,,,227.38,,1,1,1
675956756,00102M02:03:03.563,0102 02:00:28,2.41,,,,217.38,,3.21,,,,227.38,,1,1,1
675956756.5,00102M02:03:04.050,0102 02:00:28,2.41,,,,212.38,,2.86,,,,227.38,,1,1,1
675956757,00102M02:03:04.537,0102 02:00:29,2.16,,,,207.38,,2.57,,,,227.38,,1,1,1
