SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
693082757,00295M00:01:37.770,0295 00:32:37,0.46,,,,216.80,,,,,,,,0,0,1
693082758,00295M00:01:38.743,0295 00:32:38,0.44,,,,216.80,,,,,,,,0,0,1
693082759,00295M00:01:39.716,0295 00:32:39,0.59,,,,201.64,,,,,,,,0,0,1
693082760,00295M00:01:40.690,0295 00:32:40,0.67,,,,196.61,,,,,,,,0,0,1
693082761,00295M00:01:41.663,0295 00:32:41,0.63,,,,196.61,,,,,,,,0,0,1
693082762,00295M00:01:42.636,0295 00:32:42,0.51,,,,206.69,,,,,,,,0,0,1
693082763,00295M00:01:43.609,0295 00:32:43,0.47,,,,206.69,,,,,,,,0,0,1
693082764,00295M00:01:44.583,0295 00:32:44,0.44,,,,206.69,,,,,,,,0,0,1
693082765,00295M00:01:45.556,0295 00:32:45,0.57,,,,196.61,,,,,,,,0,0,1
693082766,00295M00:01:46.529,0295 00:32:46,0.47,,,,206.69,,,,,,,,0,0,1
693082767,00295M00:01:47.502,0295 00:32:47,0.47,,,,206.69,,,,,,,,0,0,1
693082768,00295M00:01:48.476,0295 00:32:48,0.42,,,,206.69,,,,,,,,0,0,1
693082769,00295M00:01:49.449,0295 00:32:49,0.34,,,,216.80,,,,,,,,0,0,1
693082770,00295M00:01:50.422,0295 00:32:50,0.40,,,,211.74,,,,,,,,0,0,1
693082771,00295M00:01:51.395,0295 00:32:51,0.44,,,,216.80,,,,,,,,0,0,1
693082772,00295M00:01:52.369,0295 00:32:52,0.46,,,,211.74,,,,,,,,0,0,1
693082773,00295M00:01:53.342,0295 00:32:53,0.38,,,,206.69,,,,,,,,0,0,1
693082774,00295M00:01:54.315,0295 00:32:54,0.34,,,,206.69,,,,,,,,0,0,1
693082775,00295M00:01:55.288,0295 00:32:55,0.24,,,,216.80,,,,,,,,0,0,1
693082776,00295M00:01:56.262,0295 00:32:56,0.20,,,,206.69,,,,,,,,0,0,1
693082777,00295M00:01:57.235,0295 00:32:57,0.24,,,,196.61,,,,,,,,0,0,1
693082778,00295M00:01:58.208,0295 00:32:58,0.16,,,,206.69,,,,,,,,0,0,1
693082779,00295M00:01:59.181,0295 00:32:59,0.12,,,,201.64,,,,,,,,0,0,1
693082780,00295M00:02:00.155,0295 00:33:00,0.12,,,,201.64,,,,,,,,0,0,1
693082781,00295M00:02:01.128,0295 00:33:01,0.22,,,,206.69,,,,,,,,0,0,1
693082782,00295M00:02:02.101,0295 00:33:02,0.20,,,,206.69,,,,,,,,0,0,1
693082783,00295M00:02:03.074,0295 00:33:03,0.16,,,,191.58,,,,,,,,0,0,1
693082784,00295M00:02:04.048,0295 00:33:04,0.12,,,,191.58,,,,,,,,0,0,1
693082785,00295M00:02:05.021,0295 00:33:05,0.12,,,,206.69,,,,,,,,0,0,1
693082786,00295M00:02:05.994,0295 00:33:06,0.06,,,,161.62,,,,,,,,0,0,1
693082787,00295M00:02:06.967,0295 00:33:07,0.14,,,,191.58,,,,,,,,0,0,1
693082788,00295M00:02:07.941,0295 00:33:07,0.06,,,,161.62,,,,,,,,0,0,1
693082789,00295M00:02:08.914,0295 00:33:08,0.12,,,,186.56,,,,,,,,0,0,1
693082790,00295M00:02:09.887,0295 00:33:09,0.12,,,,161.62,,,,,,,,0,0,1
693082791,00295M00:02:10.860,0295 00:33:10,0.22,,,,161.62,,,,,,,,0,0,1
693082792,00295M00:02:11.834,0295 00:33:11,0.18,,,,151.70,,,,,,,,0,0,1
693082793,00295M00:02:12.807,0295 00:33:12,0.14,,,,146.76,,,,,,,,0,0,1
693082794,00295M00:02:13.780,0295 00:33:13,0.06,,,,156.66,,,,,,,,0,0,1
693082795,00295M00:02:14.753,0295 00:33:14,0.24,,,,171.56,,,,,,,,0,0,1
693082796,00295M00:02:15.727,0295 00:33:15,0.53,,,,166.59,,,,,,,,0,0,1
693082797,00295M00:02:16.700,0295 00:33:16,0.32,,,,191.58,,,,,,,,0,0,1
693082798,00295M00:02:17.673,0295 00:33:17,0.30,,,,186.56,,,,,,,,0,0,1
693082799,00295M00:02:18.646,0295 00:33:18,0.18,,,,161.62,,,,,,,,0,0,1
693082800,00295M00:02:19.620,0295 00:33:19,0.22,,,,146.76,,,,,,,,0,0,1
693082801,00295M00:02:20.593,0295 00:33:20,0.37,,,,141.81,,,,,,,,0,0,1
693082802,00295M00:02:21.566,0295 00:33:21,0.31,,,,131.93,,,,,,,,0,0,1
693082803,00295M00:02:22.539,0295 00:33:22,0.27,,,,131.93,,,,,,,,0,0,1
693082804,00295M00:02:23.513,0295 00:33:23,0.33,,,,131.93,,,,,,,,0,0,1
693082805,00295M00:02:24.486,0295 00:33:24,0.37,,,,131.93,,,,,,,,0,0,1
693082806,00295M00:02:25.459,0295 00:33:25,0.37,,,,131.93,,,,,,,,0,0,1
693082807,00295M00:02:26.432,0295 00:33:26,0.43,,,,131.93,,,,,,,,0,0,1
693082808,00295M00:02:27.406,0295 00:33:27,0.33,,,,131.93,,,,,,,,0,0,1
693082809,00295M00:02:28.379,0295 00:33:28,0.41,,,,131.93,,,,,,,,0,0,1
693082810,00295M00:02:29.352,0295 00:33:29,0.43,,,,131.93,,,,,,,,0,0,1
693082811,00295M00:02:30.325,0295 00:33:30,0.37,,,,131.93,,,,,,,,0,0,1
693082812,00295M00:02:31.299,0295 00:33:31,0.43,,,,131.93,,,,,,,,0,0,1
693082813,00295M00:02:32.272,0295 00:33:32,0.43,,,,131.93,,,,,,,,0,0,1
693082814,00295M00:02:33.245,0295 00:33:33,0.43,,,,131.93,,,,,,,,0,0,1
693082815,00295M00:02:34.218,0295 00:33:34,0.49,,,,131.93,,,,,,,,0,0,1
693082816,00295M00:02:35.192,0295 00:33:35,0.43,,,,131.93,,,,,,,,0,0,1
693082817,00295M00:02:36.165,0295 00:33:36,0.49,,,,131.93,,,,,,,,0,0,1
693082818,00295M00:02:37.138,0295 00:33:37,0.49,,,,131.93,,,,,,,,0,0,1
693082819,00295M00:02:38.111,0295 00:33:38,0.67,,,,131.93,,,,,,,,0,0,1
693082820,00295M00:02:39.085,0295 00:33:39,0.67,,,,131.93,,0.98,,,,136.87,,0,1,1
693082821,00295M00:02:40.058,0295 00:33:40,0.67,,,,131.93,,1.20,,,,112.14,,0,1,1
693082822,00295M00:02:41.031,0295 00:33:41,0.68,,,,131.93,,1.08,,,,117.09,,0,1,1
693082823,00295M00:02:42.004,0295 00:33:42,0.61,,,,131.93,,1.29,,,,136.87,,0,1,1
693082824,00295M00:02:42.978,0295 00:33:43,0.61,,,,131.93,,1.29,,,,136.87,,0,1,1
693082825,00295M00:02:43.951,0295 00:33:43,0.55,,,,131.93,,1.14,,,,112.14,,0,1,1
693082826,00295M00:02:44.924,0295 00:33:44,0.67,,,,131.93,,1.35,,,,107.18,,0,1,1
693082827,00295M00:02:45.897,0295 00:33:45,0.68,,,,131.93,,1.25,,,,112.14,,0,1,1
693082828,00295M00:02:46.871,0295 00:33:46,0.61,,,,131.93,,1.06,,,,107.18,,0,1,1
693082829,00295M00:02:47.844,0295 00:33:47,0.49,,,,131.93,,1.29,,,,107.18,,0,1,1
693082830,00295M00:02:48.817,0295 00:33:48,0.61,,,,131.93,,1.17,,,,112.14,,0,1,1
693082831,00295M00:02:49.790,0295 00:33:49,0.74,,,,131.93,,1.41,,,,136.87,,0,1,1
693082832,00295M00:02:50.764,0295 00:33:50,0.92,,,,131.93,,1.45,,,,126.99,,0,1,1
693082833,00295M00:02:51.737,0295 00:33:51,1.04,,,,131.93,,1.47,,,,112.14,,0,1,1
693082834,00295M00:02:52.710,0295 00:33:52,1.23,,,,131.93,,1.80,,,,126.99,,0,1,1
693082835,00295M00:02:53.683,0295 00:33:53,1.23,,,,131.93,,1.87,,,,131.93,,0,1,1
693082836,00295M00:02:54.657,0295 00:33:54,1.29,,,,131.93,,1.79,,,,136.87,,0,1,1
693082837,00295M00:02:55.630,0295 00:33:55,1.17,,,,131.93,,1.72,,,,126.99,,0,1,1
693082838,00295M00:02:56.603,0295 00:33:56,1.11,,,,131.93,,1.49,,,,112.14,,0,1,1
693082839,00295M00:02:57.577,0295 00:33:57,0.98,,,,131.93,,1.37,,,,136.87,,0,1,1
693082840,00295M00:02:58.550,0295 00:33:58,1.35,,,,131.93,,1.60,,,,117.09,,0,1,1
693082841,00295M00:02:59.523,0295 00:33:59,1.23,,,,131.93,,1.83,,,,131.93,,0,1,1
693082842,00295M00:03:00.496,0295 00:34:00,1.60,,,,131.93,,1.99,,,,126.99,,0,1,1
693082843,00295M00:03:01.470,0295 00:34:01,1.29,,,,131.93,,2.28,,,,136.87,,0,1,1
693082844,00295M00:03:02.443,0295 00:34:02,1.60,,,,131.93,,2.22,,,,136.87,,0,1,1
693082845,00295M00:03:03.416,0295 00:34:03,1.23,,,,131.93,,2.03,,,,131.93,,0,1,1
693082846,00295M00:03:04.389,0295 00:34:04,1.35,,,,131.93,,2.03,,,,131.93,,0,1,1
693082847,00295M00:03:05.363,0295 00:34:05,1.42,,,,131.93,,1.93,,,,131.93,,0,1,1
693082848,00295M00:03:06.336,0295 00:34:06,1.60,,,,131.93,,2.09,,,,131.93,,0,1,1
693082849,00295M00:03:07.309,0295 00:34:07,1.72,,,,131.93,,2.34,,,,131.93,,0,1,1
693082850,00295M00:03:08.282,0295 00:34:08,1.11,,,,131.93,,2.09,,,,136.87,,0,1,1
693082851,00295M00:03:09.256,0295 00:34:09,1.29,,,,131.93,,2.09,,,,131.93,,0,1,1
693082852,00295M00:03:10.229,0295 00:34:10,1.36,,,,131.93,,2.05,,,,131.93,,0,1,1
693082853,00295M00:03:11.202,0295 00:34:11,1.36,,,,131.93,,1.97,,,,136.87,,0,1,1
693082854,00295M00:03:12.175,0295 00:34:12,1.54,,,,131.93,,2.10,,,,131.93,,0,1,1
693082855,00295M00:03:13.149,0295 00:34:13,1.60,,,,131.93,,2.28,,,,126.99,,0,1,1
693082856,00295M00:03:14.122,0295 00:34:14,1.54,,,,131.93,,2.22,,,,126.99,,0,1,1
693082857,00295M00:03:15.095,0295 00:34:15,1.79,,,,131.93,,2.22,,,,131.93,,0,1,1
693082858,00295M00:03:16.068,0295 00:34:16,1.85,,,,131.93,,2.47,,,,131.93,,0,1,1
693082859,00295M00:03:17.042,0295 00:34:17,1.92,,,,131.93,,2.41,,,,131.93,,0,1,1
693082860,00295M00:03:18.015,0295 00:34:18,1.73,,,,131.93,,2.43,,,,131.93,,0,1,1
693082861,00295M00:03:18.988,0295 00:34:19,2.11,,,,131.93,,2.60,,,,131.93,,0,1,1
693082862,00295M00:03:19.961,0295 00:34:20,1.98,,,,131.93,,2.60,,,,126.99,,0,1,1
693082863,00295M00:03:20.935,0295 00:34:20,1.92,,,,131.93,,2.35,,,,126.99,,0,1,1
693082864,00295M00:03:21.908,0295 00:34:21,2.04,,,,131.93,,2.62,,,,131.93,,0,1,1
693082865,00295M00:03:22.881,0295 00:34:22,1.92,,,,131.93,,2.60,,,,131.93,,0,1,1
693082866,00295M00:03:23.854,0295 00:34:23,1.61,,,,131.93,,2.29,,,,131.93,,0,1,1
693082867,00295M00:03:24.828,0295 00:34:24,1.98,,,,131.93,,2.54,,,,126.99,,0,1,1
693082868,00295M00:03:25.801,0295 00:34:25,1.61,,,,131.93,,2.35,,,,131.93,,0,1,1
693082869,00295M00:03:26.774,0295 00:34:26,1.55,,,,131.93,,2.47,,,,131.93,,0,1,1
693082870,00295M00:03:27.747,0295 00:34:27,1.67,,,,131.93,,2.35,,,,131.93,,0,1,1
693082871,00295M00:03:28.721,0295 00:34:28,1.73,,,,131.93,,2.16,,,,126.99,,0,1,1
693082872,00295M00:03:29.694,0295 00:34:29,1.61,,,,131.93,,1.98,,,,131.93,,0,1,1
693082873,00295M00:03:30.667,0295 00:34:30,1.79,,,,131.93,,2.47,,,,136.87,,0,1,1
693082874,00295M00:03:31.640,0295 00:34:31,1.61,,,,131.93,,2.41,,,,131.93,,0,1,1
693082875,00295M00:03:32.614,0295 00:34:32,1.24,,,,131.93,,2.35,,,,131.93,,0,1,1
693082876,00295M00:03:33.587,0295 00:34:33,1.79,,,,131.93,,2.16,,,,131.93,,0,1,1
693082877,00295M00:03:34.560,0295 00:34:34,1.92,,,,131.93,,2.29,,,,131.93,,0,1,1
693082878,00295M00:03:35.533,0295 00:34:35,1.36,,,,131.93,,2.50,,,,136.87,,0,1,1
693082879,00295M00:03:36.507,0295 00:34:36,1.11,,,,131.93,,2.43,,,,131.93,,0,1,1
693082880,00295M00:03:37.480,0295 00:34:37,1.36,,,,131.93,,2.22,,,,131.93,,0,1,1
693082881,00295M00:03:38.453,0295 00:34:38,1.48,,,,131.93,,2.35,,,,131.93,,0,1,1
693082882,00295M00:03:39.426,0295 00:34:39,1.73,,,,131.93,,2.41,,,,131.93,,0,1,1
693082883,00295M00:03:40.400,0295 00:34:40,1.42,,,,131.93,,2.53,,,,131.93,,0,1,1
693082884,00295M00:03:41.373,0295 00:34:41,1.73,,,,131.93,,2.54,,,,131.93,,0,1,1
693082885,00295M00:03:42.346,0295 00:34:42,1.67,,,,131.93,,2.48,,,,131.93,,0,1,1
693082886,00295M00:03:43.319,0295 00:34:43,1.24,,,,131.93,,2.54,,,,136.87,,0,1,1
693082887,00295M00:03:44.293,0295 00:34:44,1.17,,,,131.93,,2.10,,,,131.93,,0,1,1
693082888,00295M00:03:45.266,0295 00:34:45,1.54,,,,131.93,,2.16,,,,131.93,,0,1,1
693082889,00295M00:03:46.239,0295 00:34:46,1.55,,,,131.93,,2.04,,,,131.93,,0,1,1
693082890,00295M00:03:47.212,0295 00:34:47,1.61,,,,131.93,,1.92,,,,131.93,,0,1,1
693082891,00295M00:03:48.186,0295 00:34:48,1.55,,,,131.93,,2.25,,,,136.87,,0,1,1
693082892,00295M00:03:49.159,0295 00:34:49,1.36,,,,131.93,,2.29,,,,136.87,,0,1,1
693082893,00295M00:03:50.132,0295 00:34:50,1.73,,,,131.93,,1.98,,,,136.87,,0,1,1
693082894,00295M00:03:51.105,0295 00:34:51,1.11,,,,131.93,,2.10,,,,131.93,,0,1,1
693082895,00295M00:03:52.079,0295 00:34:52,1.48,,,,131.93,,2.10,,,,136.87,,0,1,1
693082896,00295M00:03:53.052,0295 00:34:53,1.42,,,,131.93,,2.22,,,,131.93,,0,1,1
693082897,00295M00:03:54.025,0295 00:34:54,1.67,,,,131.93,,2.16,,,,131.93,,0,1,1
693082898,00295M00:03:54.998,0295 00:34:55,1.42,,,,131.93,,1.92,,,,136.87,,0,1,1
693082899,00295M00:03:55.972,0295 00:34:56,1.17,,,,131.93,,2.35,,,,136.87,,0,1,1
693082900,00295M00:03:56.945,0295 00:34:56,1.61,,,,131.93,,1.79,,,,136.87,,0,1,1
693082901,00295M00:03:57.918,0295 00:34:57,1.73,,,,131.93,,2.04,,,,131.93,,0,1,1
693082902,00295M00:03:58.891,0295 00:34:58,1.86,,,,131.93,,2.10,,,,136.87,,0,1,1
693082903,00295M00:03:59.865,0295 00:34:59,1.42,,,,131.93,,2.14,,,,136.87,,0,1,1
693082904,00295M00:04:00.838,0295 00:35:00,1.30,,,,131.93,,1.81,,,,126.99,,0,1,1
693082905,00295M00:04:01.811,0295 00:35:01,1.30,,,,131.93,,1.87,,,,131.93,,0,1,1
693082906,00295M00:04:02.784,0295 00:35:02,0.93,,,,131.93,,1.98,,,,136.87,,0,1,1
693082907,00295M00:04:03.758,0295 00:35:03,1.24,,,,131.93,,1.85,,,,136.87,,0,1,1
693082908,00295M00:04:04.731,0295 00:35:04,0.93,,,,131.93,,1.91,,,,136.87,,0,1,1
693082909,00295M00:04:05.704,0295 00:35:05,1.23,,,,131.93,,1.79,,,,136.87,,0,1,1
693082910,00295M00:04:06.677,0295 00:35:06,1.29,,,,131.93,,1.66,,,,136.87,,0,1,1
693082911,00295M00:04:07.651,0295 00:35:07,1.17,,,,131.93,,1.66,,,,136.87,,0,1,1
693082912,00295M00:04:08.624,0295 00:35:08,0.99,,,,131.93,,1.67,,,,136.87,,0,1,1
693082913,00295M00:04:09.597,0295 00:35:09,1.23,,,,131.93,,1.79,,,,136.87,,0,1,1
693082914,00295M00:04:10.570,0295 00:35:10,0.86,,,,131.93,,1.60,,,,136.87,,0,1,1
693082915,00295M00:04:11.544,0295 00:35:11,1.17,,,,131.93,,1.73,,,,136.87,,0,1,1
693082916,00295M00:04:12.517,0295 00:35:12,1.11,,,,136.87,,1.11,,,,136.87,,0,1,1
693082917,00295M00:04:13.490,0295 00:35:13,1.05,,,,131.93,,1.42,,,,136.87,,0,1,1
693082918,00295M00:04:14.463,0295 00:35:14,0.68,,,,131.93,,1.36,,,,136.87,,0,1,1
693082919,00295M00:04:15.437,0295 00:35:15,0.55,,,,131.93,,1.48,,,,136.87,,0,1,1
693082920,00295M00:04:16.410,0295 00:35:16,0.49,,,,131.93,,1.60,,,,136.87,,0,1,1
693082921,00295M00:04:17.383,0295 00:35:17,0.99,,,,131.93,,1.72,,,,136.87,,0,1,1
693082922,00295M00:04:18.356,0295 00:35:18,1.05,,,,131.93,,1.66,,,,136.87,,0,1,1
693082923,00295M00:04:19.330,0295 00:35:19,0.74,,,,131.93,,1.60,,,,136.87,,0,1,1
693082924,00295M00:04:20.303,0295 00:35:20,0.80,,,,131.93,,1.48,,,,136.87,,0,1,1
693082925,00295M00:04:21.276,0295 00:35:21,0.99,,,,131.93,,1.60,,,,136.87,,0,1,1
693082926,00295M00:04:22.249,0295 00:35:22,0.80,,,,131.93,,1.48,,,,136.87,,0,1,1
693082927,00295M00:04:23.223,0295 00:35:23,0.92,,,,131.93,,1.54,,,,136.87,,0,1,1
693082928,00295M00:04:24.196,0295 00:35:24,0.76,,,,131.93,,1.05,,,,136.87,,0,1,1
693082929,00295M00:04:25.169,0295 00:35:25,0.92,,,,131.93,,1.05,,,,136.87,,0,1,1
693082930,00295M00:04:26.142,0295 00:35:26,0.80,,,,131.93,,1.17,,,,136.87,,0,1,1
693082931,00295M00:04:27.116,0295 00:35:27,0.99,,,,131.93,,0.86,,,,136.87,,0,1,1
693082932,00295M00:04:28.089,0295 00:35:28,0.76,,,,136.87,,0.93,,,,136.87,,0,1,1
693082933,00295M00:04:29.062,0295 00:35:29,0.92,,,,131.93,,1.23,,,,136.87,,0,1,1
693082934,00295M00:04:30.035,0295 00:35:30,0.92,,,,131.93,,1.23,,,,136.87,,0,1,1
693082935,00295M00:04:31.009,0295 00:35:31,0.74,,,,131.93,,1.42,,,,136.87,,0,1,1
693082936,00295M00:04:31.982,0295 00:35:32,0.74,,,,131.93,,1.42,,,,136.87,,0,1,1
693082937,00295M00:04:32.955,0295 00:35:33,0.27,,,,131.93,,1.42,,,,136.87,,0,1,1
693082938,00295M00:04:33.928,0295 00:35:33,0.66,,,,161.62,,0.45,,,,131.93,,0,1,1
693082939,00295M00:04:34.902,0295 00:35:34,0.76,,,,161.62,,0.68,,,,136.87,,0,1,1
693082940,00295M00:04:35.875,0295 00:35:35,0.66,,,,146.76,,0.80,,,,136.87,,0,1,1
693082941,00295M00:04:36.848,0295 00:35:36,0.86,,,,131.93,,1.17,,,,136.87,,0,1,1
693082942,00295M00:04:37.821,0295 00:35:37,1.05,,,,131.93,,1.23,,,,136.87,,0,1,1
693082943,00295M00:04:38.795,0295 00:35:38,1.11,,,,131.93,,0.94,,,,117.09,,0,1,1
693082944,00295M00:04:39.768,0295 00:35:39,0.80,,,,131.93,,0.74,,,,112.14,,0,1,1
693082945,00295M00:04:40.741,0295 00:35:40,0.76,,,,141.81,,1.17,,,,136.87,,0,1,1
693082946,00295M00:04:41.714,0295 00:35:41,0.74,,,,136.87,,1.24,,,,136.87,,0,1,1
693082947,00295M00:04:42.688,0295 00:35:42,0.77,,,,146.76,,0.46,,,,131.93,,0,1,1
693082948,00295M00:04:43.661,0295 00:35:43,0.83,,,,156.66,,1.06,,,,136.87,,0,1,1
693082949,00295M00:04:44.634,0295 00:35:44,1.24,,,,166.59,,0.62,,,,136.87,,0,1,1
693082950,00295M00:04:45.607,0295 00:35:45,1.36,,,,181.55,,0.33,,,,131.93,,0,1,1
693082951,00295M00:04:46.581,0295 00:35:46,1.31,,,,171.56,,0.66,,,,262.22,,0,1,1
693082952,00295M00:04:47.554,0295 00:35:47,0.81,,,,161.62,,0.37,,,,237.03,,0,1,1
693082953,00295M00:04:48.527,0295 00:35:48,1.20,,,,176.55,,0.56,,,,356.55,,0,1,1
693082954,00295M00:04:49.500,0295 00:35:49,0.81,,,,151.70,,0.31,,,,112.14,,0,1,1
693082955,00295M00:04:50.474,0295 00:35:50,0.75,,,,146.76,,0.93,,,,136.87,,0,1,1
693082956,00295M00:04:51.447,0295 00:35:51,0.62,,,,146.76,,1.24,,,,136.87,,0,1,1
693082957,00295M00:04:52.420,0295 00:35:52,0.72,,,,161.62,,0.74,,,,136.87,,0,1,1
693082958,00295M00:04:53.393,0295 00:35:53,0.66,,,,151.70,,0.50,,,,136.87,,0,1,1
693082959,00295M00:04:54.367,0295 00:35:54,0.72,,,,146.76,,1.24,,,,136.87,,0,1,1
693082960,00295M00:04:55.340,0295 00:35:55,0.83,,,,131.93,,1.42,,,,136.87,,0,1,1
693082961,00295M00:04:56.313,0295 00:35:56,0.89,,,,141.81,,1.36,,,,136.87,,0,1,1
693082962,00295M00:04:57.286,0295 00:35:57,0.99,,,,156.66,,1.18,,,,136.87,,0,1,1
693082963,00295M00:04:58.260,0295 00:35:58,1.68,,,,171.56,,0.64,,,,287.18,,0,1,1
693082964,00295M00:04:59.233,0295 00:35:59,2.06,,,,171.56,,0.66,,,,257.20,,0,1,1
693082965,00295M00:05:00.206,0295 00:36:00,2.00,,,,181.55,,0.62,,,,356.55,,0,1,1
693082966,00295M00:05:01.180,0295 00:36:01,2.00,,,,176.55,,0.25,,,,11.58,,0,1,1
693082967,00295M00:05:02.153,0295 00:36:02,1.88,,,,181.55,,0.63,,,,356.55,,0,1,1
693082968,00295M00:05:03.126,0295 00:36:03,2.00,,,,181.55,,0.15,,,,237.03,,0,1,1
693082969,00295M00:05:04.099,0295 00:36:04,1.73,,,,176.55,,0.40,,,,302.04,,0,1,1
