SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
685843933,00213M11:01:38.052,0213 11:20:45,9.09,,,,139.03,,12.55,,,,168.85,,1,1,1
685843934,00213M11:01:39.025,0213 11:20:46,9.21,,,,139.03,,14.00,,,,168.85,,1,1,1
685843935,00213M11:01:39.998,0213 11:20:47,9.04,,,,139.03,,13.02,,,,173.82,,1,1,1
685843936,00213M11:01:40.972,0213 11:20:48,8.18,,,,139.03,,12.99,,,,173.82,,1,1,1
685843937,00213M11:01:41.945,0213 11:20:49,8.54,,,,139.03,,12.00,,,,173.82,,1,1,1
685843938,00213M11:01:42.918,0213 11:20:50,8.18,,,,139.03,,11.90,,,,178.78,,1,1,1
685843939,00213M11:01:43.891,0213 11:20:51,7.78,,,,139.03,,11.83,,,,178.78,,1,1,1
685843940,00213M11:01:44.865,0213 11:20:52,7.61,,,,139.03,,10.27,,,,173.82,,1,1,1
685843941,00213M11:01:45.838,0213 11:20:53,6.50,,,,139.03,,9.14,,,,178.78,,1,1,1
685843942,00213M11:01:46.811,0213 11:20:54,6.08,,,,139.03,,8.98,,,,173.82,,1,1,1
685843943,00213M11:01:47.784,0213 11:20:55,5.71,,,,139.03,,8.89,,,,173.82,,1,1,1
685843944,00213M11:01:48.758,0213 11:20:56,4.95,,,,139.03,,8.06,,,,173.82,,1,1,1
685843945,00213M11:01:49.731,0213 11:20:57,4.95,,,,139.03,,7.95,,,,168.85,,1,1,1
685843946,00213M11:01:50.704,0213 11:20:58,6.64,,,,139.03,,8.64,,,,173.82,,1,1,1
685843947,00213M11:01:51.677,0213 11:20:59,5.59,,,,139.03,,8.29,,,,183.75,,1,1,1
685843948,00213M11:01:52.651,0213 11:21:00,5.77,,,,139.03,,8.39,,,,183.75,,1,1,1
685843949,00213M11:01:53.624,0213 11:21:01,6.06,,,,139.03,,7.96,,,,173.82,,1,1,1
685843950,00213M11:01:54.597,0213 11:21:02,5.06,,,,139.03,,7.89,,,,168.85,,1,1,1
685843951,00213M11:01:55.570,0213 11:21:03,6.32,,,,139.03,,8.49,,,,173.82,,1,1,1
685843952,00213M11:01:56.544,0213 11:21:04,5.70,,,,139.03,,8.06,,,,178.78,,1,1,1
685843953,00213M11:01:57.517,0213 11:21:05,5.00,,,,139.03,,8.14,,,,178.78,,1,1,1
685843954,00213M11:01:58.490,0213 11:21:06,4.17,,,,139.03,,7.87,,,,183.75,,1,1,1
685843955,00213M11:01:59.463,0213 11:21:07,4.67,,,,139.03,,7.46,,,,173.82,,1,1,1
