SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
681897164,00169M00:01:37.349,0169 00:14:20,3.29,,,,277.59,,3.29,,,,257.78,,1,1,1
681897165,00169M00:01:38.322,0169 00:14:21,3.40,,,,272.64,,3.23,,,,252.81,,1,1,1
681897166,00169M00:01:39.295,0169 00:14:22,3.08,,,,267.69,,3.23,,,,252.81,,1,1,1
681897167,00169M00:01:40.269,0169 00:14:23,3.08,,,,272.64,,2.86,,,,252.81,,1,1,1
681897168,00169M00:01:41.242,0169 00:14:24,3.03,,,,272.64,,2.76,,,,257.78,,1,1,1
681897169,00169M00:01:42.215,0169 00:14:24,3.02,,,,277.59,,2.75,,,,252.81,,1,1,1
681897170,00169M00:01:43.188,0169 00:14:25,2.97,,,,272.64,,2.75,,,,257.78,,1,1,1
681897171,00169M00:01:44.162,0169 00:14:26,2.91,,,,272.64,,2.75,,,,252.81,,1,1,1
681897172,00169M00:01:45.135,0169 00:14:27,2.96,,,,267.69,,2.85,,,,252.81,,1,1,1
681897173,00169M00:01:46.108,0169 00:14:28,2.70,,,,272.64,,2.54,,,,252.81,,1,1,1
681897174,00169M00:01:47.081,0169 00:14:29,3.02,,,,272.64,,2.64,,,,252.81,,1,1,1
681897175,00169M00:01:48.055,0169 00:14:30,2.84,,,,262.74,,2.80,,,,252.81,,1,1,1
681897176,00169M00:01:49.028,0169 00:14:31,2.81,,,,277.59,,2.70,,,,257.78,,1,1,1
681897177,00169M00:01:50.001,0169 00:14:32,3.23,,,,277.59,,3.33,,,,257.78,,1,1,1
681897178,00169M00:01:50.974,0169 00:14:33,3.45,,,,277.59,,3.49,,,,257.78,,1,1,1
681897179,00169M00:01:51.948,0169 00:14:34,3.34,,,,277.59,,3.23,,,,257.78,,1,1,1
681897180,00169M00:01:52.921,0169 00:14:35,3.24,,,,277.59,,2.97,,,,257.78,,1,1,1
681897181,00169M00:01:53.894,0169 00:14:36,3.24,,,,272.64,,3.12,,,,252.81,,1,1,1
681897182,00169M00:01:54.867,0169 00:14:37,3.45,,,,272.64,,3.34,,,,252.81,,1,1,1
681897183,00169M00:01:55.841,0169 00:14:38,3.34,,,,267.69,,3.13,,,,252.81,,1,1,1
