SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
689620450,00256M00:00:00.661,0256 00:24:56,3.33,,,,331.45,,3.26,,,,301.28,,1,1,1
689620451,00256M00:00:01.634,0256 00:24:57,3.07,,,,331.45,,3.25,,,,301.28,,1,1,1
689620452,00256M00:00:02.608,0256 00:24:58,3.37,,,,331.45,,3.24,,,,301.28,,1,1,1
689620453,00256M00:00:03.581,0256 00:24:59,2.57,,,,331.45,,3.19,,,,296.25,,1,1,1
689620454,00256M00:00:04.554,0256 00:25:00,3.43,,,,331.45,,3.24,,,,301.28,,1,1,1
689620455,00256M00:00:05.527,0256 00:25:01,3.37,,,,331.45,,5.48,,,,311.34,,1,1,1
689620456,00256M00:00:06.501,0256 00:25:02,3.01,,,,331.45,,5.57,,,,306.31,,1,1,1
689620457,00256M00:00:07.474,0256 00:25:03,3.38,,,,331.45,,3.26,,,,301.28,,1,1,1
689620458,00256M00:00:08.447,0256 00:25:04,3.38,,,,331.45,,5.63,,,,311.34,,1,1,1
689620459,00256M00:00:09.420,0256 00:25:05,3.13,,,,331.45,,3.25,,,,301.28,,1,1,1
689620460,00256M00:00:10.394,0256 00:25:06,3.06,,,,331.45,,5.56,,,,306.31,,1,1,1
689620461,00256M00:00:11.367,0256 00:25:07,3.45,,,,331.45,,5.20,,,,311.34,,1,1,1
689620462,00256M00:00:12.340,0256 00:25:08,3.96,,,,331.45,,5.58,,,,311.34,,1,1,1
689620463,00256M00:00:13.313,0256 00:25:09,3.57,,,,331.45,,5.69,,,,311.34,,1,1,1
689620464,00256M00:00:14.287,0256 00:25:09,3.44,,,,331.45,,5.62,,,,306.31,,1,1,1
689620465,00256M00:00:15.260,0256 00:25:10,3.25,,,,331.45,,5.44,,,,306.31,,1,1,1
689620466,00256M00:00:16.233,0256 00:25:11,2.95,,,,331.45,,5.38,,,,306.31,,1,1,1
