SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
671375592,00050M11:32:36.677,0050 11:12:35,4.65,,,,80.85,,4.30,,,,75.85,,1,1,1
671375592.5,00050M11:32:37.164,0050 11:12:35,3.85,,,,80.85,,4.48,,,,70.85,,1,1,1
671375593,00050M11:32:37.650,0050 11:12:36,3.56,,,,80.85,,3.98,,,,80.85,,1,1,1
671375593.5,00050M11:32:38.137,0050 11:12:36,3.30,,,,80.85,,2.83,,,,75.85,,1,1,1
671375594,00050M11:32:38.624,0050 11:12:37,3.19,,,,80.85,,3.17,,,,75.85,,1,1,1
671375594.5,00050M11:32:39.110,0050 11:12:37,2.71,,,,80.85,,2.93,,,,70.85,,1,1,1
671375595,00050M11:32:39.597,0050 11:12:38,3.79,,,,80.85,,3.58,,,,75.85,,1,1,1
671375595.5,00050M11:32:40.084,0050 11:12:38,3.13,,,,80.85,,3.20,,,,75.85,,1,1,1
671375596,00050M11:32:40.570,0050 11:12:39,3.68,,,,80.85,,3.42,,,,75.85,,1,1,1
671375596.5,00050M11:32:41.057,0050 11:12:39,3.31,,,,80.85,,3.10,,,,75.85,,1,1,1
671375597,00050M11:32:41.543,0050 11:12:40,3.12,,,,80.85,,3.34,,,,80.85,,1,1,1
671375597.5,00050M11:32:42.030,0050 11:12:40,2.90,,,,80.85,,3.11,,,,75.85,,1,1,1
671375598,00050M11:32:42.517,0050 11:12:41,2.83,,,,80.85,,3.59,,,,65.85,,1,1,1
671375598.5,00050M11:32:43.003,0050 11:12:41,2.65,,,,80.85,,2.79,,,,55.85,,1,1,1
671375599,00050M11:32:43.490,0050 11:12:42,2.74,,,,85.85,,2.16,,,,75.85,,1,1,1
671375599.5,00050M11:32:43.977,0050 11:12:42,2.67,,,,80.85,,2.96,,,,85.85,,1,1,1
671375600,00050M11:32:44.463,0050 11:12:43,3.03,,,,85.85,,2.95,,,,85.85,,1,1,1
671375600.5,00050M11:32:44.950,0050 11:12:43,2.79,,,,80.85,,3.43,,,,85.85,,1,1,1
671375601,00050M11:32:45.436,0050 11:12:43,2.66,,,,95.85,,2.85,,,,85.85,,1,1,1
671375601.5,00050M11:32:45.923,0050 11:12:44,2.92,,,,80.85,,2.07,,,,85.85,,1,1,1
671375602,00050M11:32:46.410,0050 11:12:44,2.51,,,,80.85,,3.09,,,,70.85,,1,1,1
671375602.5,00050M11:32:46.896,0050 11:12:45,2.10,,,,80.85,,1.81,,,,85.85,,1,1,1
671375603,00050M11:32:47.383,0050 11:12:45,2.19,,,,80.85,,2.36,,,,70.85,,1,1,1
671375603.5,00050M11:32:47.870,0050 11:12:46,2.33,,,,90.85,,2.98,,,,70.85,,1,1,1
671375604,00050M11:32:48.356,0050 11:12:46,2.90,,,,85.85,,2.83,,,,75.85,,1,1,1
671375604.5,00050M11:32:48.843,0050 11:12:47,2.75,,,,85.85,,2.90,,,,85.85,,1,1,1
