SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
687045988,00227M00:00:00.448,0227 00:20:55,3.77,,,,289.05,,3.89,,,,294.07,,1,1,1
687045989,00227M00:00:01.422,0227 00:20:56,3.83,,,,289.05,,3.71,,,,294.07,,1,1,1
687045990,00227M00:00:02.395,0227 00:20:57,4.26,,,,289.05,,3.96,,,,294.07,,1,1,1
687045991,00227M00:00:03.368,0227 00:20:58,4.79,,,,289.05,,4.49,,,,294.07,,1,1,1
687045992,00227M00:00:04.341,0227 00:20:59,4.91,,,,289.05,,4.20,,,,294.07,,1,1,1
687045993,00227M00:00:05.315,0227 00:21:00,5.33,,,,289.05,,5.03,,,,289.05,,1,1,1
687045994,00227M00:00:06.288,0227 00:21:01,4.13,,,,289.05,,3.95,,,,294.07,,1,1,1
687045995,00227M00:00:07.261,0227 00:21:02,4.61,,,,289.05,,4.32,,,,294.07,,1,1,1
687045996,00227M00:00:08.234,0227 00:21:03,4.32,,,,289.05,,4.03,,,,294.07,,1,1,1
687045997,00227M00:00:09.208,0227 00:21:04,4.15,,,,289.05,,3.97,,,,294.07,,1,1,1
687045998,00227M00:00:10.181,0227 00:21:05,3.84,,,,289.05,,4.56,,,,294.07,,1,1,1
687045999,00227M00:00:11.154,0227 00:21:06,4.01,,,,289.05,,3.66,,,,294.07,,1,1,1
687046000,00227M00:00:12.127,0227 00:21:07,4.75,,,,289.05,,4.15,,,,294.07,,1,1,1
687046001,00227M00:00:13.101,0227 00:21:07,5.16,,,,289.05,,4.80,,,,294.07,,1,1,1
687046002,00227M00:00:14.074,0227 00:21:08,4.32,,,,289.05,,3.90,,,,294.07,,1,1,1
687046003,00227M00:00:15.047,0227 00:21:09,5.75,,,,289.05,,5.57,,,,289.05,,1,1,1
687046004,00227M00:00:16.020,0227 00:21:10,4.73,,,,289.05,,4.49,,,,294.07,,1,1,1
687046005,00227M00:00:16.994,0227 00:21:11,3.96,,,,289.05,,4.02,,,,294.07,,1,1,1
687046006,00227M00:00:17.967,0227 00:21:12,3.49,,,,299.07,,3.29,,,,294.07,,1,1,1
687046007,00227M00:00:18.940,0227 00:21:13,4.40,,,,299.07,,3.91,,,,294.07,,1,1,1
687046008,00227M00:00:19.913,0227 00:21:14,3.36,,,,289.05,,3.06,,,,289.05,,1,1,1
687046009,00227M00:00:20.887,0227 00:21:15,3.90,,,,294.07,,3.06,,,,294.07,,1,1,1
687046010,00227M00:00:21.860,0227 00:21:16,5.07,,,,299.07,,3.62,,,,294.07,,1,1,1
687046011,00227M00:00:22.833,0227 00:21:17,6.29,,,,289.05,,5.86,,,,289.05,,1,1,1
687046012,00227M00:00:23.806,0227 00:21:18,5.82,,,,289.05,,4.85,,,,294.07,,1,1,1
687046013,00227M00:00:24.780,0227 00:21:19,5.01,,,,289.05,,4.35,,,,294.07,,1,1,1
687046014,00227M00:00:25.753,0227 00:21:20,5.05,,,,289.05,,4.51,,,,294.07,,1,1,1
687046015,00227M00:00:26.726,0227 00:21:21,4.63,,,,289.05,,4.27,,,,294.07,,1,1,1
687046016,00227M00:00:27.699,0227 00:21:22,3.91,,,,289.05,,3.79,,,,294.07,,1,1,1
687046017,00227M00:00:28.673,0227 00:21:23,3.49,,,,299.07,,3.09,,,,289.05,,1,1,1
687046018,00227M00:00:29.646,0227 00:21:24,4.15,,,,304.07,,2.82,,,,294.07,,1,1,1
687046019,00227M00:00:30.619,0227 00:21:25,3.50,,,,319.04,,1.26,,,,294.07,,1,1,1
687046020,00227M00:00:31.592,0227 00:21:26,3.37,,,,289.05,,3.25,,,,294.07,,1,1,1
687046021,00227M00:00:32.566,0227 00:21:27,3.12,,,,289.05,,3.00,,,,289.05,,1,1,1
687046022,00227M00:00:33.539,0227 00:21:28,3.54,,,,294.07,,2.70,,,,294.07,,1,1,1
687046023,00227M00:00:34.512,0227 00:21:29,3.13,,,,299.07,,3.30,,,,294.07,,1,1,1
687046024,00227M00:00:35.485,0227 00:21:30,3.06,,,,289.05,,3.00,,,,289.05,,1,1,1
687046025,00227M00:00:36.459,0227 00:21:31,3.11,,,,289.05,,3.23,,,,289.05,,1,1,1
687046026,00227M00:00:37.432,0227 00:21:32,2.63,,,,294.07,,2.69,,,,289.05,,1,1,1
687046027,00227M00:00:38.405,0227 00:21:33,3.42,,,,294.07,,3.18,,,,294.07,,1,1,1
687046028,00227M00:00:39.378,0227 00:21:34,3.35,,,,289.05,,2.93,,,,289.05,,1,1,1
687046029,00227M00:00:40.352,0227 00:21:35,4.13,,,,289.05,,3.84,,,,294.07,,1,1,1
687046030,00227M00:00:41.325,0227 00:21:36,4.61,,,,289.05,,4.08,,,,294.07,,1,1,1
687046031,00227M00:00:42.298,0227 00:21:37,4.98,,,,289.05,,4.74,,,,294.07,,1,1,1
687046032,00227M00:00:43.271,0227 00:21:38,4.45,,,,289.05,,4.21,,,,294.07,,1,1,1
687046033,00227M00:00:44.245,0227 00:21:39,4.62,,,,289.05,,4.38,,,,294.07,,1,1,1
687046034,00227M00:00:45.218,0227 00:21:40,3.71,,,,289.05,,3.89,,,,294.07,,1,1,1
687046035,00227M00:00:46.191,0227 00:21:41,3.05,,,,289.05,,2.99,,,,289.05,,1,1,1
687046036,00227M00:00:47.164,0227 00:21:42,3.65,,,,289.05,,3.53,,,,289.05,,1,1,1
687046037,00227M00:00:48.138,0227 00:21:43,4.38,,,,289.05,,4.14,,,,294.07,,1,1,1
687046038,00227M00:00:49.111,0227 00:21:43,3.95,,,,289.05,,4.54,,,,284.03,,1,1,1
687046039,00227M00:00:50.084,0227 00:21:44,4.63,,,,289.05,,5.04,,,,279.01,,1,1,1
687046040,00227M00:00:51.057,0227 00:21:45,3.85,,,,289.05,,4.69,,,,284.03,,1,1,1
687046041,00227M00:00:52.031,0227 00:21:46,3.79,,,,289.05,,4.15,,,,289.05,,1,1,1
687046042,00227M00:00:53.004,0227 00:21:47,3.42,,,,289.05,,3.60,,,,289.05,,1,1,1
687046043,00227M00:00:53.977,0227 00:21:48,4.73,,,,289.05,,4.79,,,,289.05,,1,1,1
687046044,00227M00:00:54.950,0227 00:21:49,4.92,,,,289.05,,5.45,,,,284.03,,1,1,1
687046045,00227M00:00:55.924,0227 00:21:50,4.44,,,,289.05,,4.68,,,,289.05,,1,1,1
687046046,00227M00:00:56.897,0227 00:21:51,4.74,,,,289.05,,4.68,,,,284.03,,1,1,1
687046047,00227M00:00:57.870,0227 00:21:52,4.50,,,,289.05,,4.62,,,,284.03,,1,1,1
687046048,00227M00:00:58.843,0227 00:21:53,3.66,,,,289.05,,3.48,,,,289.05,,1,1,1
687046049,00227M00:00:59.817,0227 00:21:54,3.83,,,,289.05,,4.55,,,,289.05,,1,1,1
687046050,00227M00:01:00.790,0227 00:21:55,3.77,,,,289.05,,3.95,,,,289.05,,1,1,1
687046051,00227M00:01:01.763,0227 00:21:56,3.47,,,,289.05,,3.53,,,,294.07,,1,1,1
687046052,00227M00:01:02.736,0227 00:21:57,2.93,,,,289.05,,2.93,,,,289.05,,1,1,1
687046053,00227M00:01:03.710,0227 00:21:58,3.58,,,,289.05,,3.70,,,,294.07,,1,1,1
687046054,00227M00:01:04.683,0227 00:21:59,4.67,,,,289.05,,4.31,,,,294.07,,1,1,1
687046055,00227M00:01:05.656,0227 00:22:00,4.55,,,,289.05,,4.67,,,,289.05,,1,1,1
687046056,00227M00:01:06.629,0227 00:22:01,4.42,,,,289.05,,4.18,,,,294.07,,1,1,1
687046057,00227M00:01:07.603,0227 00:22:02,4.06,,,,289.05,,4.01,,,,294.07,,1,1,1
687046058,00227M00:01:08.576,0227 00:22:03,3.71,,,,289.05,,3.95,,,,294.07,,1,1,1
687046059,00227M00:01:09.549,0227 00:22:04,3.65,,,,289.05,,3.83,,,,294.07,,1,1,1
687046060,00227M00:01:10.522,0227 00:22:05,3.82,,,,289.05,,3.65,,,,294.07,,1,1,1
687046061,00227M00:01:11.496,0227 00:22:06,3.66,,,,289.05,,3.36,,,,294.07,,1,1,1
687046062,00227M00:01:12.469,0227 00:22:07,3.77,,,,289.05,,3.47,,,,294.07,,1,1,1
687046063,00227M00:01:13.442,0227 00:22:08,3.95,,,,289.05,,3.96,,,,294.07,,1,1,1
687046064,00227M00:01:14.415,0227 00:22:09,3.54,,,,289.05,,3.72,,,,294.07,,1,1,1
687046065,00227M00:01:15.389,0227 00:22:10,3.60,,,,289.05,,3.90,,,,294.07,,1,1,1
687046066,00227M00:01:16.362,0227 00:22:11,3.23,,,,289.05,,3.54,,,,294.07,,1,1,1
687046067,00227M00:01:17.335,0227 00:22:12,3.05,,,,289.05,,2.73,,,,289.05,,1,1,1
687046068,00227M00:01:18.308,0227 00:22:13,3.17,,,,289.05,,3.23,,,,294.07,,1,1,1
687046069,00227M00:01:19.282,0227 00:22:14,3.18,,,,289.05,,3.18,,,,294.07,,1,1,1
687046070,00227M00:01:20.255,0227 00:22:15,3.18,,,,294.07,,2.94,,,,294.07,,1,1,1
687046071,00227M00:01:21.228,0227 00:22:16,2.88,,,,294.07,,2.88,,,,294.07,,1,1,1
687046072,00227M00:01:22.201,0227 00:22:17,2.69,,,,289.05,,2.63,,,,289.05,,1,1,1
687046073,00227M00:01:23.175,0227 00:22:18,2.74,,,,289.05,,2.74,,,,289.05,,1,1,1
687046074,00227M00:01:24.148,0227 00:22:19,2.74,,,,289.05,,2.74,,,,289.05,,1,1,1
687046075,00227M00:01:25.121,0227 00:22:20,2.32,,,,289.05,,2.68,,,,289.05,,1,1,1
687046076,00227M00:01:26.094,0227 00:22:20,2.79,,,,289.05,,2.44,,,,289.05,,1,1,1
687046077,00227M00:01:27.068,0227 00:22:21,3.27,,,,289.05,,3.03,,,,289.05,,1,1,1
687046078,00227M00:01:28.041,0227 00:22:22,2.74,,,,289.05,,2.97,,,,289.05,,1,1,1
687046079,00227M00:01:29.014,0227 00:22:23,2.91,,,,289.05,,3.09,,,,289.05,,1,1,1
687046080,00227M00:01:29.987,0227 00:22:24,3.09,,,,289.05,,3.09,,,,289.05,,1,1,1
687046081,00227M00:01:30.961,0227 00:22:25,3.04,,,,289.05,,3.10,,,,289.05,,1,1,1
687046082,00227M00:01:31.934,0227 00:22:26,2.80,,,,289.05,,2.98,,,,289.05,,1,1,1
687046083,00227M00:01:32.907,0227 00:22:27,2.62,,,,289.05,,2.92,,,,289.05,,1,1,1
687046084,00227M00:01:33.880,0227 00:22:28,2.68,,,,289.05,,2.92,,,,289.05,,1,1,1
687046085,00227M00:01:34.854,0227 00:22:29,2.98,,,,289.05,,2.92,,,,294.07,,1,1,1
687046086,00227M00:01:35.827,0227 00:22:30,2.62,,,,289.05,,2.76,,,,289.05,,1,1,1
687046087,00227M00:01:36.800,0227 00:22:31,2.55,,,,289.05,,2.73,,,,294.07,,1,1,1
687046088,00227M00:01:37.773,0227 00:22:32,2.44,,,,289.05,,2.50,,,,294.07,,1,1,1
687046089,00227M00:01:38.747,0227 00:22:33,2.79,,,,289.05,,2.79,,,,289.05,,1,1,1
687046090,00227M00:01:39.720,0227 00:22:34,3.03,,,,289.05,,2.85,,,,289.05,,1,1,1
687046091,00227M00:01:40.693,0227 00:22:35,2.73,,,,289.05,,2.43,,,,289.05,,1,1,1
687046092,00227M00:01:41.667,0227 00:22:36,2.49,,,,289.05,,2.55,,,,289.05,,1,1,1
687046093,00227M00:01:42.640,0227 00:22:37,3.02,,,,289.05,,2.84,,,,289.05,,1,1,1
