SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
680928042,00158M02:01:37.454,0158 02:12:25,0.22,,,,42.12,,0.42,,,,312.09,,1,1,1
680928043,00158M02:01:38.427,0158 02:12:26,0.20,,,,252.12,,0.85,,,,277.10,,1,1,1
680928044,00158M02:01:39.400,0158 02:12:27,0.12,,,,252.12,,0.42,,,,297.09,,1,1,1
680928045,00158M02:01:40.373,0158 02:12:28,0.03,,,,252.12,,0.91,,,,277.10,,1,1,1
680928046,00158M02:01:41.347,0158 02:12:29,0.15,,,,252.12,,0.47,,,,312.09,,1,1,1
680928047,00158M02:01:42.320,0158 02:12:30,0.00,,,,47.12,,0.72,,,,302.09,,1,1,1
680928048,00158M02:01:43.293,0158 02:12:31,0.20,,,,42.12,,0.42,,,,317.08,,1,1,1
680928049,00158M02:01:44.266,0158 02:12:32,0.15,,,,252.12,,0.49,,,,312.09,,1,1,1
680928050,00158M02:01:45.240,0158 02:12:33,0.15,,,,252.12,,0.62,,,,277.10,,1,1,1
680928051,00158M02:01:46.213,0158 02:12:34,0.00,,,,47.12,,0.89,,,,297.09,,1,1,1
680928052,00158M02:01:47.186,0158 02:12:35,0.25,,,,252.12,,0.32,,,,327.09,,1,1,1
680928053,00158M02:01:48.159,0158 02:12:36,0.25,,,,42.12,,0.39,,,,322.09,,1,1,1
680928054,00158M02:01:49.133,0158 02:12:37,0.15,,,,252.12,,0.40,,,,317.08,,1,1,1
680928055,00158M02:01:50.106,0158 02:12:38,0.30,,,,42.12,,0.65,,,,357.10,,1,1,1
680928056,00158M02:01:51.079,0158 02:12:39,0.20,,,,252.12,,0.42,,,,357.10,,1,1,1
680928057,00158M02:01:52.052,0158 02:12:40,0.30,,,,42.12,,0.52,,,,12.11,,1,1,1
680928058,00158M02:01:53.026,0158 02:12:41,0.30,,,,252.12,,0.67,,,,22.11,,1,1,1
680928059,00158M02:01:53.999,0158 02:12:42,0.35,,,,42.12,,0.74,,,,22.11,,1,1,1
680928060,00158M02:01:54.972,0158 02:12:43,0.35,,,,42.12,,0.77,,,,22.11,,1,1,1
680928061,00158M02:01:55.945,0158 02:12:43,0.30,,,,42.12,,0.72,,,,12.11,,1,1,1
680928062,00158M02:01:56.919,0158 02:12:44,0.25,,,,42.12,,0.74,,,,27.12,,1,1,1
680928063,00158M02:01:57.892,0158 02:12:45,0.25,,,,42.12,,0.80,,,,47.12,,1,1,1
680928064,00158M02:01:58.865,0158 02:12:46,0.20,,,,252.12,,0.40,,,,27.12,,1,1,1
680928065,00158M02:01:59.838,0158 02:12:47,0.20,,,,252.12,,0.65,,,,47.12,,1,1,1
680928066,00158M02:02:00.812,0158 02:12:48,0.07,,,,252.12,,0.32,,,,27.12,,1,1,1
680928067,00158M02:02:01.785,0158 02:12:49,0.12,,,,252.12,,0.35,,,,27.12,,1,1,1
680928068,00158M02:02:02.758,0158 02:12:50,0.10,,,,252.12,,0.35,,,,37.12,,1,1,1
