SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
672165314,00059M09:02:35.169,0059 08:45:47,1.19,,,,101.23,,1.11,,,,246.23,,1,1,1
672165314.5,00059M09:02:35.656,0059 08:45:48,1.96,,,,101.23,,0.24,,,,291.23,,1,1,1
672165315,00059M09:02:36.142,0059 08:45:48,1.79,,,,81.23,,0.95,,,,241.23,,1,1,1
672165315.5,00059M09:02:36.629,0059 08:45:49,2.38,,,,86.23,,1.19,,,,291.23,,1,1,1
672165316,00059M09:02:37.116,0059 08:45:49,2.18,,,,81.23,,0.35,,,,291.23,,1,1,1
672165316.5,00059M09:02:37.602,0059 08:45:50,2.31,,,,76.23,,1.52,,,,291.23,,1,1,1
672165317,00059M09:02:38.089,0059 08:45:50,1.69,,,,86.23,,1.84,,,,281.23,,1,1,1
672165317.5,00059M09:02:38.576,0059 08:45:51,1.93,,,,121.23,,1.64,,,,291.23,,1,1,1
672165318,00059M09:02:39.062,0059 08:45:51,2.98,,,,141.23,,0.25,,,,291.23,,1,1,1
672165318.5,00059M09:02:39.549,0059 08:45:52,3.10,,,,151.23,,0.29,,,,181.23,,1,1,1
672165319,00059M09:02:40.035,0059 08:45:52,1.98,,,,141.23,,1.16,,,,181.23,,1,1,1
672165319.5,00059M09:02:40.522,0059 08:45:53,1.99,,,,136.23,,0.23,,,,291.23,,1,1,1
672165320,00059M09:02:41.009,0059 08:45:53,2.63,,,,141.23,,1.05,,,,201.23,,1,1,1
672165320.5,00059M09:02:41.495,0059 08:45:54,2.64,,,,141.23,,1.70,,,,311.23,,1,1,1
672165321,00059M09:02:41.982,0059 08:45:54,2.23,,,,136.23,,1.00,,,,236.23,,1,1,1
672165321.5,00059M09:02:42.469,0059 08:45:55,1.88,,,,136.23,,0.33,,,,226.23,,1,1,1
672165322,00059M09:02:42.955,0059 08:45:55,1.93,,,,141.23,,0.06,,,,291.23,,1,1,1
672165322.5,00059M09:02:43.442,0059 08:45:56,1.74,,,,126.23,,2.28,,,,306.23,,1,1,1
672165323,00059M09:02:43.928,0059 08:45:56,2.05,,,,101.23,,0.35,,,,291.23,,1,1,1
672165323.5,00059M09:02:44.415,0059 08:45:56,2.34,,,,111.23,,1.11,,,,246.23,,1,1,1
672165324,00059M09:02:44.902,0059 08:45:57,2.10,,,,106.23,,0.89,,,,236.23,,1,1,1
672165324.5,00059M09:02:45.388,0059 08:45:57,2.15,,,,111.23,,1.05,,,,241.23,,1,1,1
672165325,00059M09:02:45.875,0059 08:45:58,2.28,,,,101.23,,0.41,,,,291.23,,1,1,1
672165325.5,00059M09:02:46.362,0059 08:45:58,1.99,,,,96.23,,0.53,,,,291.23,,1,1,1
672165326,00059M09:02:46.848,0059 08:45:59,2.05,,,,101.23,,1.17,,,,231.23,,1,1,1
672165326.5,00059M09:02:47.335,0059 08:45:59,2.10,,,,121.23,,0.19,,,,306.23,,1,1,1
672165327,00059M09:02:47.821,0059 08:46:00,1.92,,,,111.23,,0.91,,,,226.23,,1,1,1
672165327.5,00059M09:02:48.308,0059 08:46:00,2.56,,,,96.23,,0.76,,,,291.23,,1,1,1
672165328,00059M09:02:48.795,0059 08:46:01,2.50,,,,91.23,,2.79,,,,296.23,,1,1,1
672165328.5,00059M09:02:49.281,0059 08:46:01,2.00,,,,81.23,,2.21,,,,291.23,,1,1,1
672165329,00059M09:02:49.768,0059 08:46:02,1.75,,,,96.23,,1.75,,,,276.23,,1,1,1
672165329.5,00059M09:02:50.255,0059 08:46:02,2.43,,,,101.23,,1.69,,,,251.23,,1,1,1
672165330,00059M09:02:50.741,0059 08:46:03,2.45,,,,101.23,,1.28,,,,246.23,,1,1,1
