SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
684160915,00194M12:01:37.468,0194 12:18:11,4.68,,,,19.30,,6.60,,,,34.31,,1,1,1
684160916,00194M12:01:38.442,0194 12:18:12,4.54,,,,19.30,,6.67,,,,34.31,,1,1,1
684160917,00194M12:01:39.415,0194 12:18:13,4.40,,,,19.30,,4.86,,,,34.31,,1,1,1
684160918,00194M12:01:40.388,0194 12:18:14,4.05,,,,19.30,,4.12,,,,34.31,,1,1,1
684160919,00194M12:01:41.361,0194 12:18:15,4.31,,,,19.30,,6.09,,,,34.31,,1,1,1
684160920,00194M12:01:42.335,0194 12:18:16,4.23,,,,19.30,,7.39,,,,39.32,,1,1,1
684160921,00194M12:01:43.308,0194 12:18:17,4.94,,,,19.30,,6.95,,,,49.32,,1,1,1
684160922,00194M12:01:44.281,0194 12:18:18,5.56,,,,19.30,,7.06,,,,49.32,,1,1,1
684160923,00194M12:01:45.254,0194 12:18:19,5.10,,,,19.30,,6.53,,,,49.32,,1,1,1
684160924,00194M12:01:46.228,0194 12:18:20,5.01,,,,19.30,,6.28,,,,49.32,,1,1,1
684160925,00194M12:01:47.201,0194 12:18:21,4.69,,,,19.30,,6.20,,,,49.32,,1,1,1
684160926,00194M12:01:48.174,0194 12:18:22,4.68,,,,19.30,,6.34,,,,54.32,,1,1,1
684160927,00194M12:01:49.147,0194 12:18:23,4.58,,,,19.30,,6.46,,,,59.33,,1,1,1
684160928,00194M12:01:50.121,0194 12:18:24,4.41,,,,19.30,,6.65,,,,59.33,,1,1,1
684160929,00194M12:01:51.094,0194 12:18:25,4.47,,,,19.30,,6.62,,,,59.33,,1,1,1
684160930,00194M12:01:52.067,0194 12:18:26,4.50,,,,19.30,,6.29,,,,59.33,,1,1,1
684160931,00194M12:01:53.040,0194 12:18:27,4.29,,,,19.30,,5.67,,,,59.33,,1,1,1
684160932,00194M12:01:54.014,0194 12:18:28,4.05,,,,19.30,,6.19,,,,59.33,,1,1,1
684160933,00194M12:01:54.987,0194 12:18:29,4.61,,,,19.30,,6.22,,,,59.33,,1,1,1
684160934,00194M12:01:55.960,0194 12:18:30,4.62,,,,19.30,,6.51,,,,54.32,,1,1,1
684160935,00194M12:01:56.933,0194 12:18:31,4.54,,,,19.30,,6.29,,,,54.32,,1,1,1
684160936,00194M12:01:57.907,0194 12:18:32,4.29,,,,19.30,,6.10,,,,54.32,,1,1,1
684160937,00194M12:01:58.880,0194 12:18:33,4.42,,,,19.30,,5.92,,,,54.32,,1,1,1
684160938,00194M12:01:59.853,0194 12:18:34,4.15,,,,19.30,,5.78,,,,49.32,,1,1,1
684160939,00194M12:02:00.826,0194 12:18:35,4.02,,,,19.30,,5.58,,,,49.32,,1,1,1
684160940,00194M12:02:01.800,0194 12:18:36,4.16,,,,19.30,,5.57,,,,49.32,,1,1,1
684160941,00194M12:02:02.773,0194 12:18:37,4.01,,,,19.30,,5.11,,,,54.32,,1,1,1
684160942,00194M12:02:03.746,0194 12:18:38,4.04,,,,19.30,,5.31,,,,54.32,,1,1,1
684160943,00194M12:02:04.719,0194 12:18:39,3.87,,,,19.30,,5.36,,,,49.32,,1,1,1
684160944,00194M12:02:05.693,0194 12:18:40,4.04,,,,19.30,,4.57,,,,49.32,,1,1,1
684160945,00194M12:02:06.666,0194 12:18:41,3.49,,,,19.30,,3.99,,,,49.32,,1,1,1
684160946,00194M12:02:07.639,0194 12:18:42,3.59,,,,19.30,,3.82,,,,49.32,,1,1,1
684160947,00194M12:02:08.612,0194 12:18:43,3.77,,,,19.30,,5.78,,,,29.31,,1,1,1
684160948,00194M12:02:09.586,0194 12:18:44,3.77,,,,19.30,,6.16,,,,39.32,,1,1,1
684160949,00194M12:02:10.559,0194 12:18:45,4.23,,,,19.30,,5.85,,,,34.31,,1,1,1
684160950,00194M12:02:11.532,0194 12:18:45,3.85,,,,19.30,,5.94,,,,29.31,,1,1,1
684160951,00194M12:02:12.505,0194 12:18:46,4.53,,,,19.30,,5.38,,,,34.31,,1,1,1
684160952,00194M12:02:13.479,0194 12:18:47,4.42,,,,19.30,,5.62,,,,34.31,,1,1,1
684160953,00194M12:02:14.452,0194 12:18:48,4.17,,,,19.30,,6.56,,,,29.31,,1,1,1
684160954,00194M12:02:15.425,0194 12:18:49,4.12,,,,19.30,,6.74,,,,29.31,,1,1,1
684160955,00194M12:02:16.398,0194 12:18:50,3.87,,,,19.30,,4.32,,,,34.31,,1,1,1
