SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
683495106,00187M00:01:37.548,0187 00:17:08,1.88,,,,279.32,,,,,,,,1,0,1
683495107,00187M00:01:38.521,0187 00:17:08,1.72,,,,279.32,,,,,,,,1,0,1
683495108,00187M00:01:39.494,0187 00:17:09,1.61,,,,279.32,,,,,,,,1,0,1
683495109,00187M00:01:40.467,0187 00:17:10,1.61,,,,279.32,,,,,,,,1,0,1
683495110,00187M00:01:41.441,0187 00:17:11,1.72,,,,279.32,,,,,,,,1,0,1
683495111,00187M00:01:42.414,0187 00:17:12,1.34,,,,274.33,,,,,,,,1,0,1
683495112,00187M00:01:43.387,0187 00:17:13,1.67,,,,274.33,,,,,,,,1,0,1
683495113,00187M00:01:44.360,0187 00:17:14,1.83,,,,274.33,,,,,,,,1,0,1
683495114,00187M00:01:45.334,0187 00:17:15,1.50,,,,274.33,,,,,,,,1,0,1
683495115,00187M00:01:46.307,0187 00:17:16,1.67,,,,279.32,,,,,,,,1,0,1
683495116,00187M00:01:47.280,0187 00:17:17,1.61,,,,279.32,,,,,,,,1,0,1
683495117,00187M00:01:48.253,0187 00:17:18,1.77,,,,279.32,,,,,,,,1,0,1
683495118,00187M00:01:49.227,0187 00:17:19,1.72,,,,274.33,,,,,,,,1,0,1
683495119,00187M00:01:50.200,0187 00:17:20,1.67,,,,274.33,,,,,,,,1,0,1
683495120,00187M00:01:51.173,0187 00:17:21,1.62,,,,274.33,,,,,,,,1,0,1
683495121,00187M00:01:52.146,0187 00:17:22,1.78,,,,279.32,,,,,,,,1,0,1
683495122,00187M00:01:53.120,0187 00:17:23,1.78,,,,279.32,,,,,,,,1,0,1
683495123,00187M00:01:54.093,0187 00:17:24,1.29,,,,269.33,,,,,,,,1,0,1
683495124,00187M00:01:55.066,0187 00:17:25,1.61,,,,274.33,,,,,,,,1,0,1
683495125,00187M00:01:56.039,0187 00:17:26,1.56,,,,279.32,,,,,,,,1,0,1
683495126,00187M00:01:57.013,0187 00:17:27,1.56,,,,269.33,,,,,,,,1,0,1
683495127,00187M00:01:57.986,0187 00:17:28,1.51,,,,274.33,,,,,,,,1,0,1
683495128,00187M00:01:58.959,0187 00:17:29,1.62,,,,274.33,,,,,,,,1,0,1
683495129,00187M00:01:59.932,0187 00:17:30,1.67,,,,279.32,,,,,,,,1,0,1
683495130,00187M00:02:00.906,0187 00:17:31,1.56,,,,274.33,,,,,,,,1,0,1
683495131,00187M00:02:01.879,0187 00:17:32,1.67,,,,279.32,,,,,,,,1,0,1
683495132,00187M00:02:02.852,0187 00:17:33,1.72,,,,284.32,,,,,,,,1,0,1
683495133,00187M00:02:03.825,0187 00:17:34,1.78,,,,284.32,,,,,,,,1,0,1
683495134,00187M00:02:04.799,0187 00:17:35,1.51,,,,279.32,,,,,,,,1,0,1
683495135,00187M00:02:05.772,0187 00:17:36,1.72,,,,279.32,,,,,,,,1,0,1
683495136,00187M00:02:06.745,0187 00:17:37,1.56,,,,279.32,,,,,,,,1,0,1
683495137,00187M00:02:07.718,0187 00:17:38,1.40,,,,279.32,,,,,,,,1,0,1
683495138,00187M00:02:08.692,0187 00:17:39,1.56,,,,279.32,,,,,,,,1,0,1
