SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
688200057,00240M00:00:00.376,0240 00:22:40,2.38,,,,312.08,,3.03,,,,307.05,,1,1,1
688200058,00240M00:00:01.349,0240 00:22:41,2.50,,,,312.08,,3.05,,,,307.05,,1,1,1
688200059,00240M00:00:02.322,0240 00:22:42,2.26,,,,322.13,,3.17,,,,312.08,,1,1,1
688200060,00240M00:00:03.296,0240 00:22:43,2.20,,,,317.11,,2.99,,,,312.08,,1,1,1
688200061,00240M00:00:04.269,0240 00:22:44,2.38,,,,317.11,,3.23,,,,312.08,,1,1,1
688200062,00240M00:00:05.242,0240 00:22:45,2.32,,,,312.08,,3.23,,,,312.08,,1,1,1
688200063,00240M00:00:06.215,0240 00:22:46,2.50,,,,317.11,,3.29,,,,312.08,,1,1,1
688200064,00240M00:00:07.189,0240 00:22:47,2.19,,,,307.05,,3.04,,,,307.05,,1,1,1
688200065,00240M00:00:08.162,0240 00:22:48,2.38,,,,317.11,,2.98,,,,307.05,,1,1,1
688200066,00240M00:00:09.135,0240 00:22:49,2.37,,,,307.05,,2.98,,,,302.01,,1,1,1
688200067,00240M00:00:10.108,0240 00:22:50,2.43,,,,302.01,,3.10,,,,302.01,,1,1,1
688200068,00240M00:00:11.082,0240 00:22:51,2.67,,,,296.96,,3.05,,,,296.96,,1,1,1
688200069,00240M00:00:12.055,0240 00:22:52,2.61,,,,302.01,,2.99,,,,302.01,,1,1,1
688200070,00240M00:00:13.028,0240 00:22:53,2.42,,,,302.01,,2.95,,,,296.96,,1,1,1
688200071,00240M00:00:14.001,0240 00:22:53,2.48,,,,302.01,,2.85,,,,302.01,,1,1,1
688200072,00240M00:00:14.975,0240 00:22:54,2.54,,,,302.01,,2.84,,,,296.96,,1,1,1
688200073,00240M00:00:15.948,0240 00:22:55,2.60,,,,291.92,,2.84,,,,296.96,,1,1,1
688200074,00240M00:00:16.921,0240 00:22:56,2.78,,,,296.96,,2.91,,,,296.96,,1,1,1
688200075,00240M00:00:17.894,0240 00:22:57,2.49,,,,296.96,,2.79,,,,291.92,,1,1,1
688200076,00240M00:00:18.868,0240 00:22:58,2.30,,,,302.01,,2.54,,,,296.96,,1,1,1
688200077,00240M00:00:19.841,0240 00:22:59,2.84,,,,296.96,,2.91,,,,302.01,,1,1,1
688200078,00240M00:00:20.814,0240 00:23:00,2.46,,,,296.96,,2.84,,,,302.01,,1,1,1
688200079,00240M00:00:21.787,0240 00:23:01,2.54,,,,302.01,,2.73,,,,307.05,,1,1,1
688200080,00240M00:00:22.761,0240 00:23:02,2.30,,,,302.01,,2.79,,,,307.05,,1,1,1
688200081,00240M00:00:23.734,0240 00:23:03,2.06,,,,317.11,,2.73,,,,307.05,,1,1,1
688200082,00240M00:00:24.707,0240 00:23:04,1.70,,,,312.08,,2.61,,,,312.08,,1,1,1
688200083,00240M00:00:25.680,0240 00:23:05,2.12,,,,312.08,,2.79,,,,307.05,,1,1,1
688200084,00240M00:00:26.654,0240 00:23:06,2.85,,,,302.01,,3.27,,,,296.96,,1,1,1
688200085,00240M00:00:27.627,0240 00:23:07,2.37,,,,312.08,,2.95,,,,302.01,,1,1,1
688200086,00240M00:00:28.600,0240 00:23:08,2.30,,,,312.08,,3.03,,,,307.05,,1,1,1
688200087,00240M00:00:29.573,0240 00:23:09,2.50,,,,327.15,,3.16,,,,317.11,,1,1,1
688200088,00240M00:00:30.547,0240 00:23:10,2.62,,,,322.13,,3.41,,,,317.11,,1,1,1
688200089,00240M00:00:31.520,0240 00:23:11,2.24,,,,307.05,,2.85,,,,307.05,,1,1,1
688200090,00240M00:00:32.493,0240 00:23:12,2.24,,,,312.08,,2.91,,,,307.05,,1,1,1
688200091,00240M00:00:33.466,0240 00:23:13,2.12,,,,307.05,,2.97,,,,307.05,,1,1,1
688200092,00240M00:00:34.440,0240 00:23:14,2.25,,,,327.15,,3.10,,,,317.11,,1,1,1
688200093,00240M00:00:35.413,0240 00:23:15,2.62,,,,327.15,,3.64,,,,317.11,,1,1,1
688200094,00240M00:00:36.386,0240 00:23:16,2.37,,,,312.08,,3.28,,,,307.05,,1,1,1
688200095,00240M00:00:37.359,0240 00:23:17,2.61,,,,312.08,,3.28,,,,307.05,,1,1,1
688200096,00240M00:00:38.333,0240 00:23:18,2.75,,,,327.15,,3.96,,,,317.11,,1,1,1
688200097,00240M00:00:39.306,0240 00:23:19,2.44,,,,307.05,,3.36,,,,307.05,,1,1,1
688200098,00240M00:00:40.279,0240 00:23:20,3.11,,,,296.96,,3.17,,,,296.96,,1,1,1
688200099,00240M00:00:41.252,0240 00:23:21,2.19,,,,307.05,,3.05,,,,307.05,,1,1,1
688200100,00240M00:00:42.226,0240 00:23:22,2.44,,,,312.08,,3.11,,,,312.08,,1,1,1
688200101,00240M00:00:43.199,0240 00:23:23,2.50,,,,307.05,,3.84,,,,307.05,,1,1,1
688200102,00240M00:00:44.172,0240 00:23:24,2.74,,,,302.01,,3.47,,,,296.96,,1,1,1
688200103,00240M00:00:45.145,0240 00:23:25,2.68,,,,302.01,,3.28,,,,302.01,,1,1,1
688200104,00240M00:00:46.119,0240 00:23:26,2.38,,,,317.11,,2.98,,,,307.05,,1,1,1
688200105,00240M00:00:47.092,0240 00:23:27,2.50,,,,317.11,,3.10,,,,307.05,,1,1,1
688200106,00240M00:00:48.065,0240 00:23:28,2.62,,,,312.08,,3.16,,,,307.05,,1,1,1
688200107,00240M00:00:49.038,0240 00:23:29,2.50,,,,307.05,,3.16,,,,302.01,,1,1,1
688200108,00240M00:00:50.012,0240 00:23:29,2.92,,,,302.01,,3.23,,,,302.01,,1,1,1
688200109,00240M00:00:50.985,0240 00:23:30,3.16,,,,296.96,,3.45,,,,296.96,,1,1,1
688200110,00240M00:00:51.958,0240 00:23:31,3.22,,,,296.96,,3.58,,,,291.92,,1,1,1
688200111,00240M00:00:52.931,0240 00:23:32,2.55,,,,302.01,,3.03,,,,302.01,,1,1,1
688200112,00240M00:00:53.905,0240 00:23:33,2.25,,,,307.05,,3.22,,,,302.01,,1,1,1
688200113,00240M00:00:54.878,0240 00:23:34,2.85,,,,296.96,,3.89,,,,291.92,,1,1,1
688200114,00240M00:00:55.851,0240 00:23:35,2.92,,,,296.96,,3.53,,,,296.96,,1,1,1
688200115,00240M00:00:56.824,0240 00:23:36,2.92,,,,291.92,,3.78,,,,291.92,,1,1,1
688200116,00240M00:00:57.798,0240 00:23:37,2.50,,,,302.01,,3.51,,,,296.96,,1,1,1
688200117,00240M00:00:58.771,0240 00:23:38,3.35,,,,291.92,,3.83,,,,291.92,,1,1,1
688200118,00240M00:00:59.744,0240 00:23:39,3.23,,,,291.92,,3.96,,,,291.92,,1,1,1
688200119,00240M00:01:00.718,0240 00:23:40,3.28,,,,296.96,,3.71,,,,291.92,,1,1,1
688200120,00240M00:01:01.691,0240 00:23:41,3.34,,,,296.96,,3.65,,,,291.92,,1,1,1
688200121,00240M00:01:02.664,0240 00:23:42,3.22,,,,296.96,,3.77,,,,291.92,,1,1,1
688200122,00240M00:01:03.637,0240 00:23:43,3.16,,,,291.92,,3.65,,,,291.92,,1,1,1
688200123,00240M00:01:04.611,0240 00:23:44,3.17,,,,291.92,,3.60,,,,291.92,,1,1,1
688200124,00240M00:01:05.584,0240 00:23:45,3.04,,,,291.92,,3.23,,,,296.96,,1,1,1
688200125,00240M00:01:06.557,0240 00:23:46,3.04,,,,291.92,,3.83,,,,291.92,,1,1,1
688200126,00240M00:01:07.530,0240 00:23:47,3.47,,,,286.87,,4.13,,,,291.92,,1,1,1
688200127,00240M00:01:08.504,0240 00:23:48,3.61,,,,286.87,,4.22,,,,291.92,,1,1,1
688200128,00240M00:01:09.477,0240 00:23:49,3.80,,,,281.83,,4.16,,,,291.92,,1,1,1
688200129,00240M00:01:10.450,0240 00:23:50,3.61,,,,286.87,,4.10,,,,291.92,,1,1,1
688200130,00240M00:01:11.423,0240 00:23:51,3.31,,,,286.87,,3.92,,,,291.92,,1,1,1
688200131,00240M00:01:12.397,0240 00:23:52,3.30,,,,291.92,,3.91,,,,291.92,,1,1,1
688200132,00240M00:01:13.370,0240 00:23:53,3.49,,,,281.83,,4.16,,,,291.92,,1,1,1
688200133,00240M00:01:14.343,0240 00:23:54,3.43,,,,281.83,,4.34,,,,291.92,,1,1,1
688200134,00240M00:01:15.316,0240 00:23:55,3.55,,,,286.87,,3.98,,,,291.92,,1,1,1
688200135,00240M00:01:16.290,0240 00:23:56,3.55,,,,281.83,,4.06,,,,291.92,,1,1,1
688200136,00240M00:01:17.263,0240 00:23:57,3.30,,,,276.78,,3.73,,,,291.92,,1,1,1
688200137,00240M00:01:18.236,0240 00:23:58,3.37,,,,276.78,,3.73,,,,291.92,,1,1,1
688200138,00240M00:01:19.209,0240 00:23:59,3.30,,,,281.83,,3.85,,,,291.92,,1,1,1
688200139,00240M00:01:20.183,0240 00:24:00,3.67,,,,296.96,,4.34,,,,291.92,,1,1,1
688200140,00240M00:01:21.156,0240 00:24:01,3.18,,,,281.83,,3.79,,,,291.92,,1,1,1
688200141,00240M00:01:22.129,0240 00:24:02,3.24,,,,281.83,,3.92,,,,291.92,,1,1,1
688200142,00240M00:01:23.102,0240 00:24:03,3.06,,,,281.83,,3.67,,,,291.92,,1,1,1
688200143,00240M00:01:24.076,0240 00:24:04,3.18,,,,291.92,,3.79,,,,291.92,,1,1,1
688200144,00240M00:01:25.049,0240 00:24:05,3.17,,,,281.83,,3.48,,,,291.92,,1,1,1
688200145,00240M00:01:26.022,0240 00:24:06,3.11,,,,276.78,,3.90,,,,291.92,,1,1,1
688200146,00240M00:01:26.995,0240 00:24:06,3.71,,,,281.83,,4.02,,,,291.92,,1,1,1
688200147,00240M00:01:27.969,0240 00:24:07,3.41,,,,286.87,,3.77,,,,291.92,,1,1,1
688200148,00240M00:01:28.942,0240 00:24:08,3.34,,,,281.83,,3.89,,,,291.92,,1,1,1
688200149,00240M00:01:29.915,0240 00:24:09,3.29,,,,271.74,,3.41,,,,291.92,,1,1,1
688200150,00240M00:01:30.888,0240 00:24:10,3.12,,,,271.74,,3.70,,,,291.92,,1,1,1
688200151,00240M00:01:31.862,0240 00:24:11,3.27,,,,281.83,,3.57,,,,291.92,,1,1,1
688200152,00240M00:01:32.835,0240 00:24:12,2.98,,,,276.78,,3.64,,,,291.92,,1,1,1
688200153,00240M00:01:33.808,0240 00:24:13,3.21,,,,271.74,,3.57,,,,291.92,,1,1,1
688200154,00240M00:01:34.781,0240 00:24:14,3.83,,,,281.83,,4.07,,,,291.92,,1,1,1
688200155,00240M00:01:35.755,0240 00:24:15,3.78,,,,276.78,,4.02,,,,291.92,,1,1,1
688200156,00240M00:01:36.728,0240 00:24:16,3.66,,,,281.83,,4.15,,,,291.92,,1,1,1
688200157,00240M00:01:37.701,0240 00:24:17,3.66,,,,271.74,,3.90,,,,291.92,,1,1,1
