SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
685403759,00208M12:01:37.839,0208 12:20:06,,,,,,,4.28,,,,111.40,,0,1,1
685403760,00208M12:01:38.813,0208 12:20:07,,,,,,,4.33,,,,106.44,,0,1,1
685403761,00208M12:01:39.786,0208 12:20:08,,,,,,,4.22,,,,111.40,,0,1,1
685403762,00208M12:01:40.759,0208 12:20:09,,,,,,,4.75,,,,111.40,,0,1,1
685403763,00208M12:01:41.732,0208 12:20:10,,,,,,,5.39,,,,116.36,,0,1,1
685403764,00208M12:01:42.706,0208 12:20:11,,,,,,,4.71,,,,116.36,,0,1,1
685403765,00208M12:01:43.679,0208 12:20:12,,,,,,,3.98,,,,111.40,,0,1,1
685403766,00208M12:01:44.652,0208 12:20:13,2.72,,,,61.71,,4.09,,,,106.44,,1,1,1
685403767,00208M12:01:45.625,0208 12:20:13,3.54,,,,61.71,,4.44,,,,101.48,,1,1,1
685403768,00208M12:01:46.599,0208 12:20:14,3.20,,,,61.71,,4.34,,,,96.52,,1,1,1
685403769,00208M12:01:47.572,0208 12:20:15,2.90,,,,61.71,,4.69,,,,106.44,,1,1,1
685403770,00208M12:01:48.545,0208 12:20:16,2.51,,,,61.71,,4.46,,,,111.40,,1,1,1
685403771,00208M12:01:49.518,0208 12:20:17,2.98,,,,61.71,,4.52,,,,106.44,,1,1,1
685403772,00208M12:01:50.492,0208 12:20:18,3.30,,,,61.71,,3.96,,,,96.52,,1,1,1
685403773,00208M12:01:51.465,0208 12:20:19,2.74,,,,61.71,,3.31,,,,91.56,,1,1,1
685403774,00208M12:01:52.438,0208 12:20:20,1.64,,,,61.71,,3.63,,,,101.48,,1,1,1
685403775,00208M12:01:53.411,0208 12:20:21,2.38,,,,61.71,,5.43,,,,111.40,,1,1,1
685403776,00208M12:01:54.385,0208 12:20:22,2.74,,,,61.71,,6.79,,,,111.40,,1,1,1
685403777,00208M12:01:55.358,0208 12:20:23,3.52,,,,61.71,,5.94,,,,111.40,,1,1,1
685403778,00208M12:01:56.331,0208 12:20:24,3.97,,,,61.71,,5.38,,,,111.40,,1,1,1
685403779,00208M12:01:57.304,0208 12:20:25,3.70,,,,61.71,,5.11,,,,106.44,,1,1,1
685403780,00208M12:01:58.278,0208 12:20:26,3.80,,,,61.71,,4.90,,,,101.48,,1,1,1
685403781,00208M12:01:59.251,0208 12:20:27,3.52,,,,61.71,,4.55,,,,106.44,,1,1,1
685403782,00208M12:02:00.224,0208 12:20:28,2.14,,,,61.71,,4.38,,,,111.40,,1,1,1
685403783,00208M12:02:01.197,0208 12:20:29,2.14,,,,61.71,,5.72,,,,111.40,,1,1,1
685403784,00208M12:02:02.171,0208 12:20:30,2.91,,,,61.71,,6.00,,,,111.40,,1,1,1
685403785,00208M12:02:03.144,0208 12:20:31,1.87,,,,61.71,,6.09,,,,111.40,,1,1,1
685403786,00208M12:02:04.117,0208 12:20:32,2.72,,,,61.71,,5.07,,,,111.40,,1,1,1
685403787,00208M12:02:05.090,0208 12:20:33,1.74,,,,61.71,,4.91,,,,116.36,,1,1,1
685403788,00208M12:02:06.064,0208 12:20:34,2.08,,,,61.71,,4.73,,,,111.40,,1,1,1
685403789,00208M12:02:07.037,0208 12:20:35,2.18,,,,61.71,,4.37,,,,106.44,,1,1,1
685403790,00208M12:02:08.010,0208 12:20:36,2.35,,,,61.71,,4.71,,,,111.40,,1,1,1
685403791,00208M12:02:08.983,0208 12:20:37,0.24,,,,61.71,,4.66,,,,121.33,,1,1,1
685403792,00208M12:02:09.957,0208 12:20:38,0.40,,,,61.71,,6.26,,,,121.33,,1,1,1
685403793,00208M12:02:10.930,0208 12:20:39,0.29,,,,226.70,,6.10,,,,126.30,,1,1,1
685403794,00208M12:02:11.903,0208 12:20:40,0.45,,,,221.68,,6.26,,,,126.30,,1,1,1
685403795,00208M12:02:12.876,0208 12:20:41,1.82,,,,61.71,,3.90,,,,121.33,,1,1,1
685403796,00208M12:02:13.850,0208 12:20:42,1.90,,,,61.71,,3.81,,,,111.40,,1,1,1
685403797,00208M12:02:14.823,0208 12:20:43,3.67,,,,61.71,,3.69,,,,96.52,,1,1,1
685403798,00208M12:02:15.796,0208 12:20:44,2.11,,,,61.71,,3.63,,,,106.44,,1,1,1
685403799,00208M12:02:16.769,0208 12:20:45,2.35,,,,61.71,,3.93,,,,111.40,,1,1,1
685403800,00208M12:02:17.743,0208 12:20:46,2.84,,,,61.71,,4.68,,,,111.40,,1,1,1
685403801,00208M12:02:18.716,0208 12:20:47,2.12,,,,61.71,,4.58,,,,111.40,,1,1,1
685403802,00208M12:02:19.689,0208 12:20:48,1.74,,,,61.71,,4.61,,,,111.40,,1,1,1
685403803,00208M12:02:20.662,0208 12:20:49,3.34,,,,61.71,,3.99,,,,101.48,,1,1,1
685403804,00208M12:02:21.636,0208 12:20:49,2.65,,,,61.71,,3.38,,,,101.48,,1,1,1
685403805,00208M12:02:22.609,0208 12:20:50,1.05,,,,61.71,,3.31,,,,111.40,,1,1,1
