SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
687312412,00230M00:01:38.131,0230 00:22:56,3.77,,,,289.05,,,,,,,,1,0,1
687312413,00230M00:01:39.104,0230 00:22:57,3.16,,,,289.05,,,,,,,,1,0,1
687312414,00230M00:01:40.078,0230 00:22:58,4.44,,,,289.05,,,,,,,,1,0,1
687312415,00230M00:01:41.051,0230 00:22:59,4.75,,,,289.05,,,,,,,,1,0,1
687312416,00230M00:01:42.024,0230 00:23:00,5.44,,,,289.05,,,,,,,,1,0,1
687312417,00230M00:01:42.997,0230 00:23:01,5.25,,,,289.05,,,,,,,,1,0,1
687312418,00230M00:01:43.971,0230 00:23:02,4.75,,,,289.05,,,,,,,,1,0,1
687312419,00230M00:01:44.944,0230 00:23:03,4.86,,,,289.05,,,,,,,,1,0,1
687312420,00230M00:01:45.917,0230 00:23:04,4.19,,,,289.05,,,,,,,,1,0,1
687312421,00230M00:01:46.890,0230 00:23:05,3.76,,,,289.05,,,,,,,,1,0,1
687312422,00230M00:01:47.864,0230 00:23:06,3.33,,,,289.05,,,,,,,,1,0,1
687312423,00230M00:01:48.837,0230 00:23:07,3.38,,,,289.05,,,,,,,,1,0,1
687312424,00230M00:01:49.810,0230 00:23:08,3.25,,,,289.05,,,,,,,,1,0,1
687312425,00230M00:01:50.783,0230 00:23:09,3.26,,,,289.05,,,,,,,,1,0,1
687312426,00230M00:01:51.757,0230 00:23:10,2.95,,,,289.05,,,,,,,,1,0,1
687312427,00230M00:01:52.730,0230 00:23:11,3.63,,,,289.05,,,,,,,,1,0,1
687312428,00230M00:01:53.703,0230 00:23:12,3.02,,,,289.05,,,,,,,,1,0,1
687312429,00230M00:01:54.676,0230 00:23:13,3.02,,,,289.05,,,,,,,,1,0,1
687312430,00230M00:01:55.650,0230 00:23:14,2.96,,,,289.05,,,,,,,,1,0,1
687312431,00230M00:01:56.623,0230 00:23:15,3.09,,,,289.05,,,,,,,,1,0,1
687312432,00230M00:01:57.596,0230 00:23:16,3.34,,,,289.05,,,,,,,,1,0,1
687312433,00230M00:01:58.569,0230 00:23:17,2.97,,,,289.05,,,,,,,,1,0,1
687312434,00230M00:01:59.543,0230 00:23:18,2.59,,,,289.05,,,,,,,,1,0,1
687312435,00230M00:02:00.516,0230 00:23:19,3.20,,,,289.05,,,,,,,,1,0,1
687312436,00230M00:02:01.489,0230 00:23:20,2.78,,,,289.05,,,,,,,,1,0,1
687312437,00230M00:02:02.462,0230 00:23:21,2.41,,,,289.05,,,,,,,,1,0,1
687312438,00230M00:02:03.436,0230 00:23:22,2.47,,,,289.05,,,,,,,,1,0,1
687312439,00230M00:02:04.409,0230 00:23:23,2.41,,,,289.05,,,,,,,,1,0,1
687312440,00230M00:02:05.382,0230 00:23:24,3.08,,,,289.05,,,,,,,,1,0,1
687312441,00230M00:02:06.355,0230 00:23:25,2.84,,,,289.05,,,,,,,,1,0,1
687312442,00230M00:02:07.329,0230 00:23:26,2.48,,,,289.05,,,,,,,,1,0,1
687312443,00230M00:02:08.302,0230 00:23:27,2.66,,,,289.05,,,,,,,,1,0,1
687312444,00230M00:02:09.275,0230 00:23:28,2.89,,,,289.05,,,,,,,,1,0,1
687312445,00230M00:02:10.248,0230 00:23:29,2.84,,,,289.05,,,,,,,,1,0,1
687312446,00230M00:02:11.222,0230 00:23:30,3.03,,,,289.05,,,,,,,,1,0,1
687312447,00230M00:02:12.195,0230 00:23:31,3.22,,,,289.05,,,,,,,,1,0,1
687312448,00230M00:02:13.168,0230 00:23:32,3.15,,,,289.05,,,,,,,,1,0,1
687312449,00230M00:02:14.141,0230 00:23:32,3.14,,,,289.05,,,,,,,,1,0,1
687312450,00230M00:02:15.115,0230 00:23:33,3.08,,,,289.05,,,,,,,,1,0,1
687312451,00230M00:02:16.088,0230 00:23:34,3.07,,,,289.05,,,,,,,,1,0,1
687312452,00230M00:02:17.061,0230 00:23:35,3.38,,,,289.05,,,,,,,,1,0,1
687312453,00230M00:02:18.034,0230 00:23:36,3.01,,,,289.05,,,,,,,,1,0,1
687312454,00230M00:02:19.008,0230 00:23:37,3.13,,,,289.05,,,,,,,,1,0,1
687312455,00230M00:02:19.981,0230 00:23:38,3.50,,,,289.05,,,,,,,,1,0,1
687312456,00230M00:02:20.954,0230 00:23:39,3.68,,,,289.05,,,,,,,,1,0,1
687312457,00230M00:02:21.927,0230 00:23:40,3.32,,,,289.05,,,,,,,,1,0,1
687312458,00230M00:02:22.901,0230 00:23:41,3.07,,,,289.05,,,,,,,,1,0,1
687312459,00230M00:02:23.874,0230 00:23:42,3.25,,,,289.05,,,,,,,,1,0,1
687312460,00230M00:02:24.847,0230 00:23:43,2.89,,,,289.05,,,,,,,,1,0,1
687312461,00230M00:02:25.820,0230 00:23:44,3.32,,,,289.05,,,,,,,,1,0,1
687312462,00230M00:02:26.794,0230 00:23:45,2.95,,,,289.05,,,,,,,,1,0,1
687312463,00230M00:02:27.767,0230 00:23:46,2.53,,,,289.05,,,,,,,,1,0,1
687312464,00230M00:02:28.740,0230 00:23:47,2.95,,,,289.05,,,,,,,,1,0,1
687312465,00230M00:02:29.713,0230 00:23:48,3.31,,,,289.05,,,,,,,,1,0,1
687312466,00230M00:02:30.687,0230 00:23:49,3.79,,,,289.05,,,,,,,,1,0,1
687312467,00230M00:02:31.660,0230 00:23:50,3.86,,,,289.05,,,,,,,,1,0,1
687312468,00230M00:02:32.633,0230 00:23:51,3.80,,,,289.05,,,,,,,,1,0,1
687312469,00230M00:02:33.606,0230 00:23:52,3.44,,,,289.05,,,,,,,,1,0,1
687312470,00230M00:02:34.580,0230 00:23:53,3.38,,,,289.05,,,,,,,,1,0,1
687312471,00230M00:02:35.553,0230 00:23:54,3.01,,,,289.05,,,,,,,,1,0,1
687312472,00230M00:02:36.526,0230 00:23:55,3.07,,,,289.05,,,,,,,,1,0,1
687312473,00230M00:02:37.499,0230 00:23:56,2.72,,,,289.05,,,,,,,,1,0,1
687312474,00230M00:02:38.473,0230 00:23:57,3.07,,,,289.05,,,,,,,,1,0,1
687312475,00230M00:02:39.446,0230 00:23:58,3.19,,,,289.05,,3.13,,,,289.05,,1,1,1
687312476,00230M00:02:40.419,0230 00:23:59,3.49,,,,289.05,,3.43,,,,289.05,,1,1,1
687312477,00230M00:02:41.392,0230 00:24:00,3.37,,,,289.05,,3.37,,,,289.05,,1,1,1
687312478,00230M00:02:42.366,0230 00:24:01,3.37,,,,289.05,,3.13,,,,289.05,,1,1,1
687312479,00230M00:02:43.339,0230 00:24:02,3.19,,,,289.05,,3.19,,,,289.05,,1,1,1
687312480,00230M00:02:44.312,0230 00:24:03,3.54,,,,289.05,,3.48,,,,289.05,,1,1,1
687312481,00230M00:02:45.285,0230 00:24:04,4.47,,,,289.05,,4.17,,,,294.07,,1,1,1
687312482,00230M00:02:46.259,0230 00:24:05,3.80,,,,289.05,,3.56,,,,289.05,,1,1,1
687312483,00230M00:02:47.232,0230 00:24:06,4.04,,,,289.05,,4.16,,,,294.07,,1,1,1
687312484,00230M00:02:48.205,0230 00:24:07,3.55,,,,289.05,,3.67,,,,289.05,,1,1,1
687312485,00230M00:02:49.178,0230 00:24:08,3.07,,,,289.05,,3.07,,,,289.05,,1,1,1
687312486,00230M00:02:50.152,0230 00:24:09,3.48,,,,289.05,,3.12,,,,289.05,,1,1,1
687312487,00230M00:02:51.125,0230 00:24:09,3.72,,,,289.05,,3.48,,,,289.05,,1,1,1
687312488,00230M00:02:52.098,0230 00:24:10,3.55,,,,289.05,,3.67,,,,289.05,,1,1,1
687312489,00230M00:02:53.072,0230 00:24:11,4.39,,,,289.05,,3.72,,,,289.05,,1,1,1
687312490,00230M00:02:54.045,0230 00:24:12,3.67,,,,289.05,,3.79,,,,289.05,,1,1,1
687312491,00230M00:02:55.018,0230 00:24:13,3.61,,,,289.05,,3.61,,,,289.05,,1,1,1
687312492,00230M00:02:55.991,0230 00:24:14,4.52,,,,289.05,,4.76,,,,284.03,,1,1,1
687312493,00230M00:02:56.965,0230 00:24:15,3.56,,,,289.05,,3.56,,,,289.05,,1,1,1
687312494,00230M00:02:57.938,0230 00:24:16,3.68,,,,289.05,,4.70,,,,284.03,,1,1,1
687312495,00230M00:02:58.911,0230 00:24:17,3.37,,,,289.05,,3.49,,,,289.05,,1,1,1
687312496,00230M00:02:59.884,0230 00:24:18,3.43,,,,289.05,,3.67,,,,289.05,,1,1,1
687312497,00230M00:03:00.858,0230 00:24:19,3.30,,,,289.05,,3.30,,,,289.05,,1,1,1
687312498,00230M00:03:01.831,0230 00:24:20,3.18,,,,289.05,,3.12,,,,289.05,,1,1,1
687312499,00230M00:03:02.804,0230 00:24:21,3.06,,,,289.05,,3.12,,,,289.05,,1,1,1
687312500,00230M00:03:03.777,0230 00:24:22,4.21,,,,289.05,,4.33,,,,294.07,,1,1,1
687312501,00230M00:03:04.751,0230 00:24:23,4.41,,,,289.05,,4.89,,,,284.03,,1,1,1
687312502,00230M00:03:05.724,0230 00:24:24,3.56,,,,289.05,,3.56,,,,289.05,,1,1,1
687312503,00230M00:03:06.697,0230 00:24:25,3.67,,,,289.05,,3.31,,,,289.05,,1,1,1
687312504,00230M00:03:07.670,0230 00:24:26,3.37,,,,289.05,,3.43,,,,289.05,,1,1,1
687312505,00230M00:03:08.644,0230 00:24:27,3.79,,,,289.05,,3.87,,,,289.05,,1,1,1
687312506,00230M00:03:09.617,0230 00:24:28,3.37,,,,289.05,,3.67,,,,284.03,,1,1,1
687312507,00230M00:03:10.590,0230 00:24:29,3.90,,,,289.05,,3.42,,,,289.05,,1,1,1
687312508,00230M00:03:11.563,0230 00:24:30,3.85,,,,289.05,,4.75,,,,284.03,,1,1,1
687312509,00230M00:03:12.537,0230 00:24:31,3.49,,,,289.05,,3.43,,,,289.05,,1,1,1
687312510,00230M00:03:13.510,0230 00:24:32,3.19,,,,289.05,,3.31,,,,289.05,,1,1,1
687312511,00230M00:03:14.483,0230 00:24:33,3.06,,,,289.05,,3.12,,,,289.05,,1,1,1
687312512,00230M00:03:15.456,0230 00:24:34,3.05,,,,289.05,,3.23,,,,289.05,,1,1,1
687312513,00230M00:03:16.430,0230 00:24:35,3.12,,,,289.05,,3.29,,,,289.05,,1,1,1
687312514,00230M00:03:17.403,0230 00:24:36,3.11,,,,289.05,,3.11,,,,289.05,,1,1,1
687312515,00230M00:03:18.376,0230 00:24:37,2.82,,,,289.05,,2.94,,,,289.05,,1,1,1
687312516,00230M00:03:19.349,0230 00:24:38,3.23,,,,289.05,,3.11,,,,289.05,,1,1,1
687312517,00230M00:03:20.323,0230 00:24:39,3.30,,,,289.05,,3.12,,,,289.05,,1,1,1
687312518,00230M00:03:21.296,0230 00:24:40,3.35,,,,289.05,,3.17,,,,289.05,,1,1,1
687312519,00230M00:03:22.269,0230 00:24:41,3.11,,,,289.05,,3.05,,,,289.05,,1,1,1
687312520,00230M00:03:23.242,0230 00:24:42,3.49,,,,289.05,,3.55,,,,289.05,,1,1,1
687312521,00230M00:03:24.216,0230 00:24:43,3.62,,,,289.05,,3.86,,,,284.03,,1,1,1
687312522,00230M00:03:25.189,0230 00:24:44,4.40,,,,289.05,,4.64,,,,279.01,,1,1,1
687312523,00230M00:03:26.162,0230 00:24:45,3.55,,,,289.05,,3.67,,,,289.05,,1,1,1
687312524,00230M00:03:27.135,0230 00:24:45,3.24,,,,289.05,,3.54,,,,284.03,,1,1,1
687312525,00230M00:03:28.109,0230 00:24:46,3.66,,,,289.05,,3.72,,,,289.05,,1,1,1
687312526,00230M00:03:29.082,0230 00:24:47,3.24,,,,289.05,,3.18,,,,289.05,,1,1,1
687312527,00230M00:03:30.055,0230 00:24:48,3.72,,,,289.05,,3.72,,,,284.03,,1,1,1
687312528,00230M00:03:31.028,0230 00:24:49,3.53,,,,289.05,,3.41,,,,289.05,,1,1,1
687312529,00230M00:03:32.002,0230 00:24:50,3.53,,,,289.05,,3.35,,,,289.05,,1,1,1
687312530,00230M00:03:32.975,0230 00:24:51,3.72,,,,289.05,,4.61,,,,279.01,,1,1,1
687312531,00230M00:03:33.948,0230 00:24:52,3.61,,,,289.05,,3.73,,,,289.05,,1,1,1
687312532,00230M00:03:34.921,0230 00:24:53,3.53,,,,289.05,,3.35,,,,289.05,,1,1,1
687312533,00230M00:03:35.895,0230 00:24:54,3.66,,,,289.05,,3.66,,,,289.05,,1,1,1
687312534,00230M00:03:36.868,0230 00:24:55,3.66,,,,289.05,,3.72,,,,289.05,,1,1,1
687312535,00230M00:03:37.841,0230 00:24:56,3.54,,,,289.05,,3.42,,,,289.05,,1,1,1
687312536,00230M00:03:38.814,0230 00:24:57,3.72,,,,289.05,,4.08,,,,294.07,,1,1,1
687312537,00230M00:03:39.788,0230 00:24:58,3.83,,,,289.05,,3.53,,,,289.05,,1,1,1
687312538,00230M00:03:40.761,0230 00:24:59,3.66,,,,289.05,,4.30,,,,279.01,,1,1,1
687312539,00230M00:03:41.734,0230 00:25:00,3.24,,,,289.05,,3.18,,,,289.05,,1,1,1
687312540,00230M00:03:42.707,0230 00:25:01,3.18,,,,289.05,,3.30,,,,289.05,,1,1,1
687312541,00230M00:03:43.681,0230 00:25:02,3.42,,,,289.05,,3.30,,,,289.05,,1,1,1
687312542,00230M00:03:44.654,0230 00:25:03,3.23,,,,289.05,,3.05,,,,289.05,,1,1,1
687312543,00230M00:03:45.627,0230 00:25:04,2.88,,,,289.05,,3.00,,,,289.05,,1,1,1
687312544,00230M00:03:46.600,0230 00:25:05,3.18,,,,289.05,,3.00,,,,289.05,,1,1,1
687312545,00230M00:03:47.574,0230 00:25:06,3.00,,,,289.05,,3.06,,,,289.05,,1,1,1
687312546,00230M00:03:48.547,0230 00:25:07,3.11,,,,289.05,,3.05,,,,289.05,,1,1,1
687312547,00230M00:03:49.520,0230 00:25:08,3.53,,,,289.05,,3.11,,,,289.05,,1,1,1
687312548,00230M00:03:50.493,0230 00:25:09,3.19,,,,289.05,,3.13,,,,289.05,,1,1,1
687312549,00230M00:03:51.467,0230 00:25:10,3.12,,,,289.05,,3.12,,,,289.05,,1,1,1
