SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
683583781,00188M00:00:00.666,0188 00:15:39,2.57,,,,284.32,,4.05,,,,274.33,,1,1,1
683583782,00188M00:00:01.639,0188 00:15:40,2.74,,,,284.32,,4.00,,,,274.33,,1,1,1
683583783,00188M00:00:02.613,0188 00:15:41,2.63,,,,289.32,,4.33,,,,274.33,,1,1,1
683583784,00188M00:00:03.586,0188 00:15:42,2.96,,,,284.32,,4.16,,,,274.33,,1,1,1
683583785,00188M00:00:04.559,0188 00:15:43,2.85,,,,289.32,,4.11,,,,274.33,,1,1,1
683583786,00188M00:00:05.532,0188 00:15:44,2.68,,,,289.32,,4.10,,,,279.32,,1,1,1
683583787,00188M00:00:06.506,0188 00:15:45,2.85,,,,294.32,,4.16,,,,279.32,,1,1,1
683583788,00188M00:00:07.479,0188 00:15:46,2.74,,,,294.32,,4.11,,,,279.32,,1,1,1
683583789,00188M00:00:08.452,0188 00:15:47,2.68,,,,294.32,,4.00,,,,279.32,,1,1,1
683583790,00188M00:00:09.425,0188 00:15:48,2.74,,,,284.32,,4.05,,,,274.33,,1,1,1
683583791,00188M00:00:10.399,0188 00:15:49,2.74,,,,289.32,,4.11,,,,279.32,,1,1,1
683583792,00188M00:00:11.372,0188 00:15:50,2.57,,,,289.32,,3.50,,,,279.32,,1,1,1
683583793,00188M00:00:12.345,0188 00:15:51,3.24,,,,294.32,,4.23,,,,284.32,,1,1,1
683583794,00188M00:00:13.318,0188 00:15:52,2.92,,,,289.32,,4.62,,,,274.33,,1,1,1
683583795,00188M00:00:14.292,0188 00:15:53,2.75,,,,284.32,,4.12,,,,274.33,,1,1,1
683583796,00188M00:00:15.265,0188 00:15:54,2.92,,,,284.32,,4.30,,,,274.33,,1,1,1
683583797,00188M00:00:16.238,0188 00:15:55,2.75,,,,284.32,,4.02,,,,279.32,,1,1,1
683583798,00188M00:00:17.211,0188 00:15:56,2.86,,,,294.32,,3.96,,,,279.32,,1,1,1
683583799,00188M00:00:18.185,0188 00:15:57,2.75,,,,289.32,,4.07,,,,279.32,,1,1,1
683583800,00188M00:00:19.158,0188 00:15:58,2.69,,,,284.32,,3.96,,,,274.33,,1,1,1
683583801,00188M00:00:20.131,0188 00:15:59,2.49,,,,294.32,,3.46,,,,284.32,,1,1,1
683583802,00188M00:00:21.104,0188 00:16:00,2.36,,,,289.32,,3.95,,,,279.32,,1,1,1
683583803,00188M00:00:22.078,0188 00:16:01,2.69,,,,289.32,,3.84,,,,274.33,,1,1,1
683583804,00188M00:00:23.051,0188 00:16:02,2.91,,,,299.31,,4.29,,,,279.32,,1,1,1
683583805,00188M00:00:24.024,0188 00:16:03,2.86,,,,294.32,,4.12,,,,284.32,,1,1,1
683583806,00188M00:00:24.997,0188 00:16:04,2.52,,,,289.32,,3.38,,,,284.32,,1,1,1
683583807,00188M00:00:25.971,0188 00:16:05,2.74,,,,284.32,,3.29,,,,279.32,,1,1,1
683583808,00188M00:00:26.944,0188 00:16:06,2.47,,,,294.32,,3.90,,,,279.32,,1,1,1
683583809,00188M00:00:27.917,0188 00:16:07,2.75,,,,294.32,,4.12,,,,279.32,,1,1,1
683583810,00188M00:00:28.890,0188 00:16:08,2.58,,,,284.32,,3.90,,,,274.33,,1,1,1
683583811,00188M00:00:29.864,0188 00:16:09,2.53,,,,279.32,,3.51,,,,274.33,,1,1,1
683583812,00188M00:00:30.837,0188 00:16:09,2.03,,,,294.32,,2.91,,,,289.32,,1,1,1
683583813,00188M00:00:31.810,0188 00:16:10,2.20,,,,294.32,,3.24,,,,284.32,,1,1,1
683583814,00188M00:00:32.783,0188 00:16:11,2.71,,,,294.32,,3.81,,,,284.32,,1,1,1
683583815,00188M00:00:33.757,0188 00:16:12,2.47,,,,289.32,,3.29,,,,289.32,,1,1,1
683583816,00188M00:00:34.730,0188 00:16:13,2.08,,,,289.32,,2.85,,,,289.32,,1,1,1
683583817,00188M00:00:35.703,0188 00:16:14,2.31,,,,299.31,,3.07,,,,289.32,,1,1,1
683583818,00188M00:00:36.676,0188 00:16:15,2.42,,,,294.32,,3.40,,,,284.32,,1,1,1
683583819,00188M00:00:37.650,0188 00:16:16,2.53,,,,294.32,,4.01,,,,279.32,,1,1,1
683583820,00188M00:00:38.623,0188 00:16:17,2.87,,,,294.32,,4.13,,,,279.32,,1,1,1
683583821,00188M00:00:39.596,0188 00:16:18,2.87,,,,294.32,,4.30,,,,279.32,,1,1,1
683583822,00188M00:00:40.569,0188 00:16:19,2.54,,,,294.32,,4.03,,,,279.32,,1,1,1
683583823,00188M00:00:41.543,0188 00:16:20,2.75,,,,289.32,,4.06,,,,279.32,,1,1,1
683583824,00188M00:00:42.516,0188 00:16:21,2.76,,,,284.32,,3.97,,,,279.32,,1,1,1
683583825,00188M00:00:43.489,0188 00:16:22,2.70,,,,284.32,,3.25,,,,284.32,,1,1,1
683583826,00188M00:00:44.462,0188 00:16:23,2.42,,,,299.31,,3.25,,,,289.32,,1,1,1
683583827,00188M00:00:45.436,0188 00:16:24,2.20,,,,299.31,,3.39,,,,284.32,,1,1,1
683583828,00188M00:00:46.409,0188 00:16:25,2.64,,,,299.31,,3.47,,,,284.32,,1,1,1
683583829,00188M00:00:47.382,0188 00:16:26,2.15,,,,294.32,,3.25,,,,284.32,,1,1,1
683583830,00188M00:00:48.355,0188 00:16:27,1.87,,,,294.32,,2.86,,,,284.32,,1,1,1
683583831,00188M00:00:49.329,0188 00:16:28,2.09,,,,294.32,,3.13,,,,289.32,,1,1,1
683583832,00188M00:00:50.302,0188 00:16:29,2.58,,,,294.32,,3.35,,,,284.32,,1,1,1
683583833,00188M00:00:51.275,0188 00:16:30,2.36,,,,289.32,,3.40,,,,279.32,,1,1,1
683583834,00188M00:00:52.248,0188 00:16:31,2.53,,,,294.32,,3.85,,,,279.32,,1,1,1
683583835,00188M00:00:53.222,0188 00:16:32,2.53,,,,289.32,,4.07,,,,279.32,,1,1,1
683583836,00188M00:00:54.195,0188 00:16:33,2.53,,,,294.32,,3.13,,,,289.32,,1,1,1
683583837,00188M00:00:55.168,0188 00:16:34,2.41,,,,294.32,,3.24,,,,289.32,,1,1,1
683583838,00188M00:00:56.141,0188 00:16:35,2.80,,,,289.32,,3.96,,,,279.32,,1,1,1
683583839,00188M00:00:57.115,0188 00:16:36,2.69,,,,289.32,,3.72,,,,279.32,,1,1,1
683583840,00188M00:00:58.088,0188 00:16:37,2.70,,,,294.32,,4.02,,,,279.32,,1,1,1
683583841,00188M00:00:59.061,0188 00:16:38,2.70,,,,299.31,,4.13,,,,284.32,,1,1,1
683583842,00188M00:01:00.034,0188 00:16:39,2.53,,,,299.31,,3.19,,,,294.32,,1,1,1
683583843,00188M00:01:01.008,0188 00:16:40,2.53,,,,304.31,,3.58,,,,294.32,,1,1,1
683583844,00188M00:01:01.981,0188 00:16:41,3.03,,,,294.32,,4.02,,,,284.32,,1,1,1
683583845,00188M00:01:02.954,0188 00:16:42,2.80,,,,299.31,,4.07,,,,284.32,,1,1,1
683583846,00188M00:01:03.927,0188 00:16:43,3.08,,,,299.31,,4.18,,,,289.32,,1,1,1
683583847,00188M00:01:04.901,0188 00:16:44,2.64,,,,299.31,,3.95,,,,284.32,,1,1,1
683583848,00188M00:01:05.874,0188 00:16:45,2.75,,,,284.32,,4.07,,,,279.32,,1,1,1
683583849,00188M00:01:06.847,0188 00:16:45,2.30,,,,289.32,,3.29,,,,284.32,,1,1,1
683583850,00188M00:01:07.820,0188 00:16:46,2.58,,,,289.32,,4.07,,,,279.32,,1,1,1
683583851,00188M00:01:08.794,0188 00:16:47,2.75,,,,294.32,,3.52,,,,284.32,,1,1,1
683583852,00188M00:01:09.767,0188 00:16:48,2.84,,,,299.31,,4.07,,,,284.32,,1,1,1
683583853,00188M00:01:10.740,0188 00:16:49,2.77,,,,299.31,,4.23,,,,279.32,,1,1,1
683583854,00188M00:01:11.713,0188 00:16:50,2.81,,,,289.32,,3.96,,,,279.32,,1,1,1
683583855,00188M00:01:12.687,0188 00:16:51,2.53,,,,294.32,,4.07,,,,279.32,,1,1,1
683583856,00188M00:01:13.660,0188 00:16:52,2.64,,,,289.32,,3.85,,,,279.32,,1,1,1
683583857,00188M00:01:14.633,0188 00:16:53,2.69,,,,289.32,,4.07,,,,279.32,,1,1,1
683583858,00188M00:01:15.606,0188 00:16:54,2.64,,,,289.32,,4.06,,,,279.32,,1,1,1
683583859,00188M00:01:16.580,0188 00:16:55,2.80,,,,284.32,,3.95,,,,274.33,,1,1,1
683583860,00188M00:01:17.553,0188 00:16:56,2.74,,,,299.31,,3.95,,,,279.32,,1,1,1
683583861,00188M00:01:18.526,0188 00:16:57,2.30,,,,304.31,,3.23,,,,294.32,,1,1,1
683583862,00188M00:01:19.499,0188 00:16:58,2.24,,,,294.32,,3.06,,,,289.32,,1,1,1
683583863,00188M00:01:20.473,0188 00:16:59,2.19,,,,299.31,,3.06,,,,289.32,,1,1,1
683583864,00188M00:01:21.446,0188 00:17:00,2.11,,,,294.32,,3.06,,,,294.32,,1,1,1
683583865,00188M00:01:22.419,0188 00:17:01,1.97,,,,289.32,,2.84,,,,289.32,,1,1,1
683583866,00188M00:01:23.392,0188 00:17:02,2.35,,,,284.32,,2.79,,,,284.32,,1,1,1
683583867,00188M00:01:24.366,0188 00:17:03,2.24,,,,279.32,,3.01,,,,279.32,,1,1,1
683583868,00188M00:01:25.339,0188 00:17:04,2.19,,,,284.32,,2.90,,,,289.32,,1,1,1
683583869,00188M00:01:26.312,0188 00:17:05,2.57,,,,279.32,,3.11,,,,274.33,,1,1,1
683583870,00188M00:01:27.285,0188 00:17:06,2.46,,,,284.32,,3.33,,,,274.33,,1,1,1
683583871,00188M00:01:28.259,0188 00:17:07,2.51,,,,274.33,,2.95,,,,279.32,,1,1,1
683583872,00188M00:01:29.232,0188 00:17:08,3.16,,,,269.33,,3.93,,,,274.33,,1,1,1
683583873,00188M00:01:30.205,0188 00:17:09,2.94,,,,274.33,,3.87,,,,274.33,,1,1,1
683583874,00188M00:01:31.178,0188 00:17:10,2.34,,,,289.32,,3.38,,,,279.32,,1,1,1
683583875,00188M00:01:32.152,0188 00:17:11,2.49,,,,289.32,,3.39,,,,284.32,,1,1,1
683583876,00188M00:01:33.125,0188 00:17:12,2.78,,,,279.32,,3.92,,,,274.33,,1,1,1
683583877,00188M00:01:34.098,0188 00:17:13,3.04,,,,274.33,,3.91,,,,274.33,,1,1,1
683583878,00188M00:01:35.071,0188 00:17:14,3.04,,,,274.33,,3.97,,,,274.33,,1,1,1
683583879,00188M00:01:36.045,0188 00:17:15,3.05,,,,274.33,,4.02,,,,274.33,,1,1,1
683583880,00188M00:01:37.018,0188 00:17:16,2.99,,,,279.32,,3.97,,,,274.33,,1,1,1
683583881,00188M00:01:37.991,0188 00:17:17,2.93,,,,279.32,,3.91,,,,274.33,,1,1,1
683583882,00188M00:01:38.964,0188 00:17:18,3.20,,,,269.33,,3.96,,,,274.33,,1,1,1
683583883,00188M00:01:39.938,0188 00:17:19,3.20,,,,279.32,,4.34,,,,274.33,,1,1,1
683583884,00188M00:01:40.911,0188 00:17:20,3.37,,,,269.33,,4.51,,,,274.33,,1,1,1
683583885,00188M00:01:41.884,0188 00:17:21,3.25,,,,264.33,,4.34,,,,274.33,,1,1,1
683583886,00188M00:01:42.857,0188 00:17:22,3.47,,,,264.33,,4.29,,,,274.33,,1,1,1
683583887,00188M00:01:43.831,0188 00:17:22,3.75,,,,269.33,,3.96,,,,274.33,,1,1,1
683583888,00188M00:01:44.804,0188 00:17:23,4.03,,,,269.33,,4.30,,,,274.33,,1,1,1
683583889,00188M00:01:45.777,0188 00:17:24,3.92,,,,274.33,,4.63,,,,274.33,,1,1,1
683583890,00188M00:01:46.750,0188 00:17:25,3.37,,,,269.33,,4.35,,,,274.33,,1,1,1
683583891,00188M00:01:47.724,0188 00:17:26,3.93,,,,274.33,,5.02,,,,274.33,,1,1,1
683583892,00188M00:01:48.697,0188 00:17:27,4.21,,,,274.33,,4.76,,,,274.33,,1,1,1
683583893,00188M00:01:49.670,0188 00:17:28,3.77,,,,279.32,,4.65,,,,274.33,,1,1,1
683583894,00188M00:01:50.644,0188 00:17:29,3.77,,,,274.33,,4.81,,,,274.33,,1,1,1
683583895,00188M00:01:51.617,0188 00:17:30,3.82,,,,274.33,,5.13,,,,274.33,,1,1,1
683583896,00188M00:01:52.590,0188 00:17:31,3.81,,,,269.33,,4.52,,,,274.33,,1,1,1
683583897,00188M00:01:53.563,0188 00:17:32,3.86,,,,264.33,,4.19,,,,274.33,,1,1,1
683583898,00188M00:01:54.537,0188 00:17:33,4.41,,,,269.33,,4.19,,,,274.33,,1,1,1
683583899,00188M00:01:55.510,0188 00:17:34,4.67,,,,269.33,,4.51,,,,274.33,,1,1,1
683583900,00188M00:01:56.483,0188 00:17:35,4.46,,,,269.33,,4.63,,,,274.33,,1,1,1
683583901,00188M00:01:57.456,0188 00:17:36,4.84,,,,269.33,,5.44,,,,274.33,,1,1,1
683583902,00188M00:01:58.430,0188 00:17:37,4.65,,,,269.33,,5.41,,,,274.33,,1,1,1
683583903,00188M00:01:59.403,0188 00:17:38,4.47,,,,269.33,,3.71,,,,274.33,,1,1,1
683583904,00188M00:02:00.376,0188 00:17:39,4.19,,,,269.33,,4.46,,,,274.33,,1,1,1
683583905,00188M00:02:01.349,0188 00:17:40,4.31,,,,264.33,,4.37,,,,274.33,,1,1,1
683583906,00188M00:02:02.323,0188 00:17:41,3.80,,,,259.33,,4.42,,,,274.33,,1,1,1
683583907,00188M00:02:03.296,0188 00:17:42,3.92,,,,264.33,,4.41,,,,274.33,,1,1,1
683583908,00188M00:02:04.269,0188 00:17:43,4.42,,,,264.33,,4.42,,,,274.33,,1,1,1
683583909,00188M00:02:05.242,0188 00:17:44,3.71,,,,259.33,,3.71,,,,274.33,,1,1,1
683583910,00188M00:02:06.216,0188 00:17:45,4.31,,,,259.33,,4.15,,,,274.33,,1,1,1
683583911,00188M00:02:07.189,0188 00:17:46,4.22,,,,259.33,,3.73,,,,274.33,,1,1,1
683583912,00188M00:02:08.162,0188 00:17:47,4.06,,,,259.33,,3.73,,,,274.33,,1,1,1
683583913,00188M00:02:09.135,0188 00:17:48,4.22,,,,264.33,,4.11,,,,274.33,,1,1,1
683583914,00188M00:02:10.109,0188 00:17:49,4.21,,,,264.33,,3.67,,,,274.33,,1,1,1
683583915,00188M00:02:11.082,0188 00:17:50,4.04,,,,264.33,,3.71,,,,274.33,,1,1,1
683583916,00188M00:02:12.055,0188 00:17:51,4.26,,,,264.33,,4.31,,,,274.33,,1,1,1
683583917,00188M00:02:13.028,0188 00:17:52,3.61,,,,264.33,,4.22,,,,274.33,,1,1,1
683583918,00188M00:02:14.002,0188 00:17:53,4.10,,,,264.33,,4.10,,,,274.33,,1,1,1
683583919,00188M00:02:14.975,0188 00:17:54,3.55,,,,259.33,,3.88,,,,274.33,,1,1,1
683583920,00188M00:02:15.948,0188 00:17:55,3.55,,,,259.33,,4.10,,,,274.33,,1,1,1
683583921,00188M00:02:16.921,0188 00:17:56,3.94,,,,264.33,,3.88,,,,274.33,,1,1,1
683583922,00188M00:02:17.895,0188 00:17:57,3.82,,,,264.33,,3.98,,,,274.33,,1,1,1
683583923,00188M00:02:18.868,0188 00:17:58,3.92,,,,264.33,,3.86,,,,274.33,,1,1,1
683583924,00188M00:02:19.841,0188 00:17:58,3.26,,,,264.33,,3.80,,,,274.33,,1,1,1
683583925,00188M00:02:20.814,0188 00:17:59,3.31,,,,269.33,,3.91,,,,274.33,,1,1,1
683583926,00188M00:02:21.788,0188 00:18:00,3.58,,,,264.33,,4.18,,,,274.33,,1,1,1
683583927,00188M00:02:22.761,0188 00:18:01,3.81,,,,259.33,,3.64,,,,274.33,,1,1,1
683583928,00188M00:02:23.734,0188 00:18:02,3.92,,,,259.33,,4.19,,,,274.33,,1,1,1
683583929,00188M00:02:24.707,0188 00:18:03,4.36,,,,264.33,,3.71,,,,274.33,,1,1,1
683583930,00188M00:02:25.681,0188 00:18:04,3.71,,,,264.33,,3.92,,,,274.33,,1,1,1
683583931,00188M00:02:26.654,0188 00:18:05,3.54,,,,264.33,,4.20,,,,274.33,,1,1,1
683583932,00188M00:02:27.627,0188 00:18:06,3.54,,,,269.33,,4.30,,,,274.33,,1,1,1
683583933,00188M00:02:28.600,0188 00:18:07,3.60,,,,264.33,,3.98,,,,274.33,,1,1,1
683583934,00188M00:02:29.574,0188 00:18:08,3.53,,,,259.33,,4.13,,,,274.33,,1,1,1
683583935,00188M00:02:30.547,0188 00:18:09,3.81,,,,264.33,,4.08,,,,274.33,,1,1,1
683583936,00188M00:02:31.520,0188 00:18:10,3.53,,,,264.33,,4.02,,,,274.33,,1,1,1
683583937,00188M00:02:32.493,0188 00:18:11,3.53,,,,264.33,,4.18,,,,274.33,,1,1,1
683583938,00188M00:02:33.467,0188 00:18:12,3.03,,,,259.33,,3.68,,,,274.33,,1,1,1
683583939,00188M00:02:34.440,0188 00:18:13,3.30,,,,269.33,,3.95,,,,274.33,,1,1,1
683583940,00188M00:02:35.413,0188 00:18:14,3.04,,,,259.33,,3.90,,,,274.33,,1,1,1
683583941,00188M00:02:36.386,0188 00:18:15,3.19,,,,259.33,,3.90,,,,274.33,,1,1,1
683583942,00188M00:02:37.360,0188 00:18:16,3.64,,,,264.33,,4.08,,,,274.33,,1,1,1
683583943,00188M00:02:38.333,0188 00:18:17,3.96,,,,264.33,,4.66,,,,274.33,,1,1,1
683583944,00188M00:02:39.306,0188 00:18:18,4.13,,,,264.33,,4.40,,,,274.33,,1,1,1
683583945,00188M00:02:40.279,0188 00:18:19,3.86,,,,264.33,,4.03,,,,274.33,,1,1,1
683583946,00188M00:02:41.253,0188 00:18:20,3.81,,,,264.33,,4.19,,,,274.33,,1,1,1
683583947,00188M00:02:42.226,0188 00:18:21,3.76,,,,259.33,,4.19,,,,274.33,,1,1,1
683583948,00188M00:02:43.199,0188 00:18:22,4.47,,,,269.33,,4.64,,,,274.33,,1,1,1
683583949,00188M00:02:44.172,0188 00:18:23,4.21,,,,269.33,,5.25,,,,274.33,,1,1,1
683583950,00188M00:02:45.146,0188 00:18:24,4.37,,,,269.33,,4.70,,,,274.33,,1,1,1
683583951,00188M00:02:46.119,0188 00:18:25,4.03,,,,264.33,,4.41,,,,274.33,,1,1,1
683583952,00188M00:02:47.092,0188 00:18:26,3.58,,,,264.33,,3.96,,,,274.33,,1,1,1
683583953,00188M00:02:48.065,0188 00:18:27,3.52,,,,259.33,,3.85,,,,274.33,,1,1,1
683583954,00188M00:02:49.039,0188 00:18:28,3.53,,,,269.33,,4.23,,,,274.33,,1,1,1
683583955,00188M00:02:50.012,0188 00:18:29,3.25,,,,264.33,,3.95,,,,274.33,,1,1,1
683583956,00188M00:02:50.985,0188 00:18:30,3.57,,,,264.33,,4.12,,,,274.33,,1,1,1
683583957,00188M00:02:51.958,0188 00:18:31,3.58,,,,264.33,,4.02,,,,274.33,,1,1,1
683583958,00188M00:02:52.932,0188 00:18:32,3.37,,,,259.33,,3.86,,,,274.33,,1,1,1
683583959,00188M00:02:53.905,0188 00:18:33,3.92,,,,264.33,,3.97,,,,274.33,,1,1,1
683583960,00188M00:02:54.878,0188 00:18:34,4.36,,,,264.33,,4.14,,,,274.33,,1,1,1
683583961,00188M00:02:55.851,0188 00:18:35,4.02,,,,264.33,,4.19,,,,274.33,,1,1,1
683583962,00188M00:02:56.825,0188 00:18:35,3.74,,,,264.33,,4.12,,,,274.33,,1,1,1
683583963,00188M00:02:57.798,0188 00:18:36,3.75,,,,259.33,,3.91,,,,274.33,,1,1,1
683583964,00188M00:02:58.771,0188 00:18:37,3.20,,,,259.33,,3.85,,,,274.33,,1,1,1
